section,stack_no,process,report_month,sampling_date,stack_temperature,oxygen_pct,gas_velocity,flow_rate,emission_actual_o2,emission_rate,operation_hour,emission_total
Nox,"Ống khói lò nung xương 3,4",,Dec,20/8/2020,122.7,,,158.33333333333334,68.9,0.6545500000000001,744.0,486.9852000000001
Nox,"Ống khói lò nung xương 5,6",,Jan,2/12/2019,146.5,,,175.5,4.8,0.050544,424.0,21.430656
Nox,"Ống khói lò nung xương 5,6",,Feb,2/12/2019,146.5,,,175.5,4.8,0.050544,0.0,0.0
Nox,"Ống khói lò nung xương 5,6",,Mar,2/12/2019,146.5,,,175.5,4.8,0.050544,624.0,31.539455999999998
Nox,"Ống khói lò nung xương 5,6",,Apr,3/4/2020,145.9,,,175.0,5.8,0.0609,720.0,43.848
Nox,"Ống khói lò nung xương 5,6",,May,3/4/2020,145.9,,,175.0,5.8,0.0609,744.0,45.3096
Nox,"Ống khói lò nung xương 5,6",,Jun,8/6/2020,117.5,,,175.0,68.3,0.71715,720.0,516.348
Nox,"Ống khói lò nung xương 5,6",,Jul,8/6/2020,117.5,,,175.0,68.3,0.71715,744.0,533.5595999999999
Nox,"Ống khói lò nung xương 5,6",,Aug,8/6/2020,117.5,,,175.0,68.3,0.71715,744.0,533.5595999999999
Nox,"Ống khói lò nung xương 5,6",,Sep,8/6/2020,117.5,,,175.0,68.3,0.71715,720.0,516.348
Nox,"Ống khói lò nung xương 5,6",,Oct,20/8/2020,118.6,,,194.16666666666666,70.4,0.82016,744.0,610.19904
Nox,"Ống khói lò nung xương 5,6",,Nov,20/8/2020,118.6,,,194.16666666666666,70.4,0.82016,720.0,590.5152
Nox,"Ống khói lò nung xương 5,6",,Dec,20/8/2020,118.6,,,194.16666666666666,70.4,0.82016,744.0,610.19904
Nox,Ống khói lò nung men số 1,,Jan,29/9/2019,157.3,,,168.66666666666666,5.7,0.057684,384.0,22.150655999999998
Nox,Ống khói lò nung men số 1,,Feb,29/9/2019,157.3,,,168.66666666666666,5.7,0.057684,328.0,18.920352
Nox,Ống khói lò nung men số 1,,Mar,29/9/2019,157.3,,,168.66666666666666,5.7,0.057684,744.0,42.916896
Nox,Ống khói lò nung men số 1,,Apr,3/4/2020,152.3,,,178.33333333333334,6.0,0.0642,720.0,46.224
Nox,Ống khói lò nung men số 1,,May,3/4/2020,152.3,,,178.33333333333334,6.0,0.0642,744.0,47.764799999999994
Nox,Ống khói lò nung men số 1,,Jun,8/6/2020,125.8,,,178.33333333333334,72.4,0.7746800000000001,720.0,557.7696000000001
Nox,Ống khói lò nung men số 1,,Jul,8/6/2020,125.8,,,178.33333333333334,72.4,0.7746800000000001,744.0,576.36192
Nox,Ống khói lò nung men số 1,,Aug,8/6/2020,125.8,,,178.33333333333334,72.4,0.7746800000000001,744.0,576.36192
Nox,Ống khói lò nung men số 1,,Sep,8/6/2020,125.8,,,178.33333333333334,72.4,0.7746800000000001,720.0,557.7696000000001
Nox,Ống khói lò nung men số 1,,Oct,8/6/2020,125.8,,,178.33333333333334,72.4,0.7746800000000001,744.0,576.36192
Nox,Ống khói lò nung men số 1,,Nov,8/6/2020,125.8,,,178.33333333333334,72.4,0.7746800000000001,720.0,557.7696000000001
Nox,Ống khói lò nung men số 1,,Dec,8/6/2020,125.8,,,178.33333333333334,72.4,0.7746800000000001,744.0,576.36192
Nox,Ống khói lò nung men số 2,,Jan,29/9/2019,124.3,,,141.5,5.5,0.046695,384.0,17.930880000000002
Nox,Ống khói lò nung men số 2,,Feb,29/9/2019,124.3,,,141.5,5.5,0.046695,328.0,15.31596
Nox,Ống khói lò nung men số 2,,Mar,29/9/2019,124.3,,,141.5,5.5,0.046695,744.0,34.741080000000004
Nox,Ống khói lò nung men số 2,,Apr,3/4/2020,149.5,,,186.66666666666666,5.7,0.06384,720.0,45.9648
Nox,Ống khói lò nung men số 2,,May,3/4/2020,149.5,,,186.66666666666666,5.7,0.06384,744.0,47.496959999999994
Nox,Ống khói lò nung men số 2,,Jun,8/6/2020,105.7,,,186.66666666666666,74.5,0.8344,720.0,600.768
Nox,Ống khói lò nung men số 2,,Jul,8/6/2020,105.7,,,186.66666666666666,74.5,0.8344,744.0,620.7936
Nox,Ống khói lò nung men số 2,,Aug,8/6/2020,105.7,,,186.66666666666666,74.5,0.8344,744.0,620.7936
Nox,Ống khói lò nung men số 2,,Sep,8/6/2020,105.7,,,186.66666666666666,74.5,0.8344,720.0,600.768
Nox,Ống khói lò nung men số 2,,Oct,20/8/2020,124.7,,,155.66666666666666,70.7,0.660338,744.0,491.291472
Nox,Ống khói lò nung men số 2,,Nov,20/8/2020,124.7,,,155.66666666666666,70.7,0.660338,720.0,475.44336
Nox,Ống khói lò nung men số 2,,Dec,20/8/2020,124.7,,,155.66666666666666,70.7,0.660338,744.0,491.291472
Nox,Ống khói lò nung men số 3,,Jan,29/9/2019,117.7,,,138.0,7.2,0.059616,416.0,24.800256
Nox,Ống khói lò nung men số 3,,Feb,29/9/2019,117.7,,,138.0,7.2,0.059616,448.0,26.707968
Nox,Ống khói lò nung men số 3,,Mar,29/9/2019,117.7,,,138.0,7.2,0.059616,744.0,44.354304
Nox,Ống khói lò nung men số 3,,Apr,3/4/2020,147.9,,,165.0,5.7,0.05643,720.0,40.6296
Nox,Ống khói lò nung men số 3,,May,3/4/2020,147.9,,,165.0,5.7,0.05643,744.0,41.98392
Nox,Ống khói lò nung men số 3,,Jun,3/4/2020,147.9,,,165.0,5.7,0.05643,720.0,40.6296
Nox,Ống khói lò nung men số 3,,Jul,3/4/2020,147.9,,,165.0,5.7,0.05643,744.0,41.98392
Nox,Ống khói lò nung men số 3,,Aug,3/4/2020,147.9,,,165.0,5.7,0.05643,744.0,41.98392
Nox,Ống khói lò nung men số 3,,Sep,3/4/2020,147.9,,,165.0,5.7,0.05643,720.0,40.6296
Nox,Ống khói lò nung men số 3,,Oct,20/8/2020,107.8,,,202.33333333333334,75.7,0.9189980000000001,744.0,683.7345120000001
Nox,Ống khói lò nung men số 3,,Nov,20/8/2020,107.8,,,202.33333333333334,75.7,0.9189980000000001,720.0,661.6785600000001
Nox,Ống khói lò nung men số 3,,Dec,20/8/2020,107.8,,,202.33333333333334,75.7,0.9189980000000001,744.0,683.7345120000001
Nox,Ống khói lò nung men số 4,,Jan,2/12/2019,150.4,,,177.5,4.5,0.047925,416.0,19.9368
Nox,Ống khói lò nung men số 4,,Feb,2/12/2019,150.4,,,177.5,4.5,0.047925,448.0,21.4704
Nox,Ống khói lò nung men số 4,,Mar,2/12/2019,150.4,,,177.5,4.5,0.047925,744.0,35.6562
Nox,Ống khói lò nung men số 4,,Apr,2/12/2019,150.4,,,177.5,4.5,0.047925,720.0,34.506
Nox,Ống khói lò nung men số 4,,May,2/12/2019,150.4,,,177.5,4.5,0.047925,744.0,35.6562
Nox,Ống khói lò nung men số 4,,Jun,2/12/2019,150.4,,,177.5,4.5,0.047925,720.0,34.506
Nox,Ống khói lò nung men số 4,,Jul,2/12/2019,150.4,,,177.5,4.5,0.047925,744.0,35.6562
Nox,Ống khói lò nung men số 4,,Aug,2/12/2019,150.4,,,177.5,4.5,0.047925,744.0,35.6562
Nox,Ống khói lò nung men số 4,,Sep,2/12/2019,150.4,,,177.5,4.5,0.047925,48.0,2.3004000000000002
Nox,Ống khói lò nung men số 4,,Oct,20/8/2020,111.4,,,174.16666666666666,70.2,0.73359,0.0,0.0
Nox,Ống khói lò nung men số 4,,Nov,20/8/2020,111.4,,,174.16666666666666,70.2,0.73359,0.0,0.0
Nox,Ống khói lò nung men số 4,,Dec,20/8/2020,111.4,,,174.16666666666666,70.2,0.73359,624.0,457.76016
Nox,Ống khói lò nung men số 5,,Jan,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,424.0,19.50824
Nox,Ống khói lò nung men số 5,,Feb,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,0.0,0.0
Nox,Ống khói lò nung men số 5,,Mar,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,624.0,28.710240000000002
Nox,Ống khói lò nung men số 5,,Apr,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,102.0,4.693020000000001
Nox,Ống khói lò nung men số 5,,May,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,0.0,0.0
Nox,Ống khói lò nung men số 5,,Jun,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,408.0,18.772080000000003
Nox,Ống khói lò nung men số 5,,Jul,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,696.0,32.022960000000005
Nox,Ống khói lò nung men số 5,,Aug,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,0.0,0.0
Nox,Ống khói lò nung men số 5,,Sep,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,0.0,0.0
Nox,Ống khói lò nung men số 5,,Oct,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,0.0,0.0
Nox,Ống khói lò nung men số 5,,Nov,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,0.0,0.0
Nox,Ống khói lò nung men số 5,,Dec,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,0.0,0.0
Nox,Ống khói lò nung men số 6,,Jan,2/12/2019,117.5,,,176.0,5.8,0.061248,424.0,25.969151999999998
