section,stack_no,process,diameter,sampling_month_year,stack_temperature,oxygen_pct,gas_velocity,flow_rate,dust_emission_actual_o2,dust_emission_rate,operation_hour,dust_emission_total,report_month
Dust/ Bụi,Ống khói lò nung men số 3,,,29/9/2019,117.7,,,138.0,7.2,0.059616,448.0,26.707968,Feb
Dust/ Bụi,Ống khói lò nung men số 3,,,29/9/2019,117.7,,,138.0,7.2,0.059616,744.0,44.354304,Mar
Dust/ Bụi,Ống khói lò nung men số 3,,,3/4/2020,147.9,,,165.0,5.7,0.05643,720.0,40.6296,Apr
Dust/ Bụi,Ống khói lò nung men số 3,,,3/4/2020,147.9,,,165.0,5.7,0.05643,744.0,41.98392,May
Dust/ Bụi,Ống khói lò nung men số 3,,,3/4/2020,147.9,,,165.0,5.7,0.05643,720.0,40.6296,Jun
Dust/ Bụi,Ống khói lò nung men số 3,,,3/4/2020,147.9,,,165.0,5.7,0.05643,744.0,41.98392,Jul
Dust/ Bụi,Ống khói lò nung men số 3,,,3/4/2020,147.9,,,165.0,5.7,0.05643,744.0,41.98392,Aug
Dust/ Bụi,Ống khói lò nung men số 3,,,3/4/2020,147.9,,,165.0,5.7,0.05643,720.0,40.6296,Sep
Dust/ Bụi,Ống khói lò nung men số 3,,,20/8/2020,107.8,,,202.33333333333334,75.7,0.9189980000000001,744.0,683.7345120000001,Oct
Dust/ Bụi,Ống khói lò nung men số 3,,,20/8/2020,107.8,,,202.33333333333334,75.7,0.9189980000000001,720.0,661.6785600000001,Nov
Dust/ Bụi,Ống khói lò nung men số 3,,,20/8/2020,107.8,,,202.33333333333334,75.7,0.9189980000000001,744.0,683.7345120000001,Dec
Dust/ Bụi,Ống khói lò nung men số 4,,,2/12/2019,150.4,,,177.5,4.5,0.047925,416.0,19.9368,Jan
Dust/ Bụi,Ống khói lò nung men số 4,,,2/12/2019,150.4,,,177.5,4.5,0.047925,448.0,21.4704,Feb
Dust/ Bụi,Ống khói lò nung men số 4,,,2/12/2019,150.4,,,177.5,4.5,0.047925,744.0,35.6562,Mar
Dust/ Bụi,Ống khói lò nung men số 4,,,2/12/2019,150.4,,,177.5,4.5,0.047925,720.0,34.506,Apr
Dust/ Bụi,Ống khói lò nung men số 4,,,2/12/2019,150.4,,,177.5,4.5,0.047925,744.0,35.6562,May
Dust/ Bụi,Ống khói lò nung men số 4,,,2/12/2019,150.4,,,177.5,4.5,0.047925,720.0,34.506,Jun
Dust/ Bụi,Ống khói lò nung men số 4,,,2/12/2019,150.4,,,177.5,4.5,0.047925,744.0,35.6562,Jul
Dust/ Bụi,Ống khói lò nung men số 4,,,2/12/2019,150.4,,,177.5,4.5,0.047925,744.0,35.6562,Aug
Dust/ Bụi,Ống khói lò nung men số 4,,,2/12/2019,150.4,,,177.5,4.5,0.047925,48.0,2.3004000000000002,Sep
Dust/ Bụi,Ống khói lò nung men số 4,,,20/8/2020,111.4,,,174.16666666666666,70.2,0.73359,0.0,0.0,Oct
Dust/ Bụi,Ống khói lò nung men số 4,,,20/8/2020,111.4,,,174.16666666666666,70.2,0.73359,0.0,0.0,Nov
Dust/ Bụi,Ống khói lò nung men số 4,,,20/8/2020,111.4,,,174.16666666666666,70.2,0.73359,624.0,457.76016,Dec
Dust/ Bụi,Ống khói lò nung men số 5,,,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,424.0,19.50824,Jan
Dust/ Bụi,Ống khói lò nung men số 5,,,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,0.0,0.0,Feb
Dust/ Bụi,Ống khói lò nung men số 5,,,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,624.0,28.710240000000002,Mar
Dust/ Bụi,Ống khói lò nung men số 5,,,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,102.0,4.693020000000001,Apr
Dust/ Bụi,Ống khói lò nung men số 5,,,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,0.0,0.0,May
Dust/ Bụi,Ống khói lò nung men số 5,,,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,408.0,18.772080000000003,Jun
Dust/ Bụi,Ống khói lò nung men số 5,,,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,696.0,32.022960000000005,Jul
Dust/ Bụi,Ống khói lò nung men số 5,,,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,0.0,0.0,Aug
Dust/ Bụi,Ống khói lò nung men số 5,,,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,0.0,0.0,Sep
Dust/ Bụi,Ống khói lò nung men số 5,,,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,0.0,0.0,Oct
Dust/ Bụi,Ống khói lò nung men số 5,,,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,0.0,0.0,Nov
Dust/ Bụi,Ống khói lò nung men số 5,,,2/12/2019,120.1,,,178.33333333333334,4.3,0.04601,0.0,0.0,Dec
Dust/ Bụi,Ống khói lò nung men số 6,,,2/12/2019,117.5,,,176.0,5.8,0.061248,424.0,25.969151999999998,Jan
Dust/ Bụi,Ống khói lò nung men số 6,,,2/12/2019,117.5,,,176.0,5.8,0.061248,0.0,0.0,Feb
Dust/ Bụi,Ống khói lò nung men số 6,,,2/12/2019,117.5,,,176.0,5.8,0.061248,600.0,36.748799999999996,Mar
Dust/ Bụi,Ống khói lò nung men số 6,,,2/12/2019,117.5,,,176.0,5.8,0.061248,720.0,44.09856,Apr
Dust/ Bụi,Ống khói lò nung men số 6,,,2/12/2019,117.5,,,176.0,5.8,0.061248,744.0,45.568512,May
Dust/ Bụi,Ống khói lò nung men số 6,,,8/6/2020,109.3,,,176.0,69.8,0.737088,720.0,530.70336,Jun
Dust/ Bụi,Ống khói lò nung men số 6,,,8/6/2020,109.3,,,176.0,69.8,0.737088,744.0,548.393472,Jul
Dust/ Bụi,Ống khói lò nung men số 6,,,8/6/2020,109.3,,,176.0,69.8,0.737088,744.0,548.393472,Aug
Dust/ Bụi,Ống khói lò nung men số 6,,,8/6/2020,109.3,,,176.0,69.8,0.737088,720.0,530.70336,Sep
Dust/ Bụi,Ống khói lò nung men số 6,,,8/6/2020,109.3,,,176.0,69.8,0.737088,744.0,548.393472,Oct
Dust/ Bụi,Ống khói lò nung men số 6,,,8/6/2020,109.3,,,176.0,69.8,0.737088,720.0,530.70336,Nov
Dust/ Bụi,Ống khói lò nung men số 6,,,8/6/2020,109.3,,,176.0,69.8,0.737088,744.0,548.393472,Dec
