section,stack_no,process,report_month,sampling_date,stack_temperature,oxygen_pct,gas_velocity,flow_rate,emission_actual_o2,emission_rate,operation_hour,emission_total
Sox/ Khí Sox,"Ống khói lò nung xương 3,4",,Sep,8/6/2020,120.6,,,186.66666666666666,95.3,1.06736,720.0,768.4992000000001
Sox/ Khí Sox,"Ống khói lò nung xương 3,4",,Oct,20/8/2020,122.7,,,158.33333333333334,96.1,0.91295,744.0,679.2348000000001
Sox/ Khí Sox,"Ống khói lò nung xương 3,4",,Nov,20/8/2020,122.7,,,158.33333333333334,96.1,0.91295,720.0,657.3240000000001
Sox/ Khí Sox,"Ống khói lò nung xương 3,4",,Dec,20/8/2020,122.7,,,158.33333333333334,96.1,0.91295,744.0,679.2348000000001
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,Jan,2/12/2019,146.5,,,175.5,80.19,0.8444007,424.0,358.0258968
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,Feb,2/12/2019,146.5,,,175.5,80.19,0.8444007,0.0,0.0
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,Mar,2/12/2019,146.5,,,175.5,80.19,0.8444007,624.0,526.9060368
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,Apr,3/4/2020,145.9,,,175.0,91.2,0.9576,720.0,689.472
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,May,3/4/2020,145.9,,,175.0,91.2,0.9576,744.0,712.4544
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,Jun,8/6/2020,117.5,,,175.0,92.7,0.97335,720.0,700.812
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,Jul,8/6/2020,117.5,,,175.0,92.7,0.97335,744.0,724.1724
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,Aug,8/6/2020,117.5,,,175.0,92.7,0.97335,744.0,724.1724
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,Sep,8/6/2020,117.5,,,175.0,92.7,0.97335,720.0,700.812
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,Oct,20/8/2020,118.6,,,194.16666666666666,93.8,1.09277,744.0,813.02088
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,Nov,20/8/2020,118.6,,,194.16666666666666,93.8,1.09277,720.0,786.7944
Sox/ Khí Sox,"Ống khói lò nung xương 5,6",,Dec,20/8/2020,118.6,,,194.16666666666666,93.8,1.09277,744.0,813.02088
Sox/ Khí Sox,Ống khói lò nung men số 1,,Jan,29/9/2019,157.3,,,168.66666666666666,6.38,0.06456559999999999,384.0,24.793190399999993
Sox/ Khí Sox,Ống khói lò nung men số 1,,Feb,29/9/2019,157.3,,,168.66666666666666,6.38,0.06456559999999999,328.0,21.177516799999996
Sox/ Khí Sox,Ống khói lò nung men số 1,,Mar,29/9/2019,157.3,,,168.66666666666666,6.38,0.06456559999999999,744.0,48.03680639999999
Sox/ Khí Sox,Ống khói lò nung men số 1,,Apr,3/4/2020,152.3,,,178.33333333333334,93.1,0.9961699999999999,720.0,717.2424
Sox/ Khí Sox,Ống khói lò nung men số 1,,May,3/4/2020,152.3,,,178.33333333333334,93.1,0.9961699999999999,744.0,741.1504799999999
Sox/ Khí Sox,Ống khói lò nung men số 1,,Jun,8/6/2020,125.8,,,178.33333333333334,96.2,1.0293400000000001,720.0,741.1248
Sox/ Khí Sox,Ống khói lò nung men số 1,,Jul,8/6/2020,125.8,,,178.33333333333334,96.2,1.0293400000000001,744.0,765.82896
Sox/ Khí Sox,Ống khói lò nung men số 1,,Aug,8/6/2020,125.8,,,178.33333333333334,96.2,1.0293400000000001,744.0,765.82896
Sox/ Khí Sox,Ống khói lò nung men số 1,,Sep,8/6/2020,125.8,,,178.33333333333334,96.2,1.0293400000000001,720.0,741.1248
Sox/ Khí Sox,Ống khói lò nung men số 1,,Oct,8/6/2020,125.8,,,178.33333333333334,96.2,1.0293400000000001,744.0,765.82896
Sox/ Khí Sox,Ống khói lò nung men số 1,,Nov,8/6/2020,125.8,,,178.33333333333334,96.2,1.0293400000000001,720.0,741.1248
Sox/ Khí Sox,Ống khói lò nung men số 1,,Dec,8/6/2020,125.8,,,178.33333333333334,96.2,1.0293400000000001,744.0,765.82896
Sox/ Khí Sox,Ống khói lò nung men số 2,,Jan,29/9/2019,124.3,,,141.5,6.42,0.05450579999999999,384.0,20.930227199999997
Sox/ Khí Sox,Ống khói lò nung men số 2,,Feb,29/9/2019,124.3,,,141.5,6.42,0.05450579999999999,328.0,17.877902399999996
Sox/ Khí Sox,Ống khói lò nung men số 2,,Mar,29/9/2019,124.3,,,141.5,6.42,0.05450579999999999,744.0,40.552315199999995
Sox/ Khí Sox,Ống khói lò nung men số 2,,Apr,3/4/2020,149.5,,,186.66666666666666,90.2,1.0102399999999998,720.0,727.3727999999999
Sox/ Khí Sox,Ống khói lò nung men số 2,,May,3/4/2020,149.5,,,186.66666666666666,90.2,1.0102399999999998,744.0,751.6185599999999
Sox/ Khí Sox,Ống khói lò nung men số 2,,Jun,8/6/2020,105.7,,,186.66666666666666,93.3,1.04496,720.0,752.3712
Sox/ Khí Sox,Ống khói lò nung men số 2,,Jul,8/6/2020,105.7,,,186.66666666666666,93.3,1.04496,744.0,777.4502400000001
Sox/ Khí Sox,Ống khói lò nung men số 2,,Aug,8/6/2020,105.7,,,186.66666666666666,93.3,1.04496,744.0,777.4502400000001
Sox/ Khí Sox,Ống khói lò nung men số 2,,Sep,8/6/2020,105.7,,,186.66666666666666,93.3,1.04496,720.0,752.3712
Sox/ Khí Sox,Ống khói lò nung men số 2,,Oct,20/8/2020,124.7,,,155.66666666666666,97.8,0.9134519999999999,744.0,679.6082879999999
Sox/ Khí Sox,Ống khói lò nung men số 2,,Nov,20/8/2020,124.7,,,155.66666666666666,97.8,0.9134519999999999,720.0,657.68544
Sox/ Khí Sox,Ống khói lò nung men số 2,,Dec,20/8/2020,124.7,,,155.66666666666666,97.8,0.9134519999999999,744.0,679.6082879999999
Sox/ Khí Sox,Ống khói lò nung men số 3,,Jan,29/9/2019,117.7,,,138.0,8.8,0.072864,416.0,30.311424
Sox/ Khí Sox,Ống khói lò nung men số 3,,Feb,29/9/2019,117.7,,,138.0,8.8,0.072864,448.0,32.643072
Sox/ Khí Sox,Ống khói lò nung men số 3,,Mar,29/9/2019,117.7,,,138.0,8.8,0.072864,744.0,54.210816
Sox/ Khí Sox,Ống khói lò nung men số 3,,Apr,3/4/2020,147.9,,,165.0,93.4,0.9246600000000001,720.0,665.7552000000001
Sox/ Khí Sox,Ống khói lò nung men số 3,,May,3/4/2020,147.9,,,165.0,93.4,0.9246600000000001,744.0,687.9470400000001
Sox/ Khí Sox,Ống khói lò nung men số 3,,Jun,3/4/2020,147.9,,,165.0,93.4,0.9246600000000001,720.0,665.7552000000001
Sox/ Khí Sox,Ống khói lò nung men số 3,,Jul,3/4/2020,147.9,,,165.0,93.4,0.9246600000000001,744.0,687.9470400000001
Sox/ Khí Sox,Ống khói lò nung men số 3,,Aug,3/4/2020,147.9,,,165.0,93.4,0.9246600000000001,744.0,687.9470400000001
Sox/ Khí Sox,Ống khói lò nung men số 3,,Sep,3/4/2020,147.9,,,165.0,93.4,0.9246600000000001,720.0,665.7552000000001
Sox/ Khí Sox,Ống khói lò nung men số 3,,Oct,20/8/2020,107.8,,,202.33333333333334,92.9,1.1278060000000003,744.0,839.0876640000002
Sox/ Khí Sox,Ống khói lò nung men số 3,,Nov,20/8/2020,107.8,,,202.33333333333334,92.9,1.1278060000000003,720.0,812.0203200000002
Sox/ Khí Sox,Ống khói lò nung men số 3,,Dec,20/8/2020,107.8,,,202.33333333333334,92.9,1.1278060000000003,744.0,839.0876640000002
Sox/ Khí Sox,Ống khói lò nung men số 4,,Jan,2/12/2019,150.4,,,177.5,91.11,0.9703215,416.0,403.65374399999996
Sox/ Khí Sox,Ống khói lò nung men số 4,,Feb,2/12/2019,150.4,,,177.5,91.11,0.9703215,448.0,434.704032
Sox/ Khí Sox,Ống khói lò nung men số 4,,Mar,2/12/2019,150.4,,,177.5,91.11,0.9703215,744.0,721.9191959999999
Sox/ Khí Sox,Ống khói lò nung men số 4,,Apr,2/12/2019,150.4,,,177.5,91.11,0.9703215,720.0,698.63148
Sox/ Khí Sox,Ống khói lò nung men số 4,,May,2/12/2019,150.4,,,177.5,91.11,0.9703215,744.0,721.9191959999999
Sox/ Khí Sox,Ống khói lò nung men số 4,,Jun,2/12/2019,150.4,,,177.5,91.11,0.9703215,720.0,698.63148
Sox/ Khí Sox,Ống khói lò nung men số 4,,Jul,2/12/2019,150.4,,,177.5,91.11,0.9703215,744.0,721.9191959999999
Sox/ Khí Sox,Ống khói lò nung men số 4,,Aug,2/12/2019,150.4,,,177.5,91.11,0.9703215,744.0,721.9191959999999
Sox/ Khí Sox,Ống khói lò nung men số 4,,Sep,2/12/2019,150.4,,,177.5,91.11,0.9703215,48.0,46.575432
Sox/ Khí Sox,Ống khói lò nung men số 4,,Oct,20/8/2020,111.4,,,174.16666666666666,97.1,1.014695,0.0,0.0
Sox/ Khí Sox,Ống khói lò nung men số 4,,Nov,20/8/2020,111.4,,,174.16666666666666,97.1,1.014695,0.0,0.0
Sox/ Khí Sox,Ống khói lò nung men số 4,,Dec,20/8/2020,111.4,,,174.16666666666666,97.1,1.014695,624.0,633.16968
Sox/ Khí Sox,Ống khói lò nung men số 5,,Jan,2/12/2019,120.1,,,178.33333333333334,92.18,0.9863260000000003,424.0,418.2022240000001
Sox/ Khí Sox,Ống khói lò nung men số 5,,Feb,2/12/2019,120.1,,,178.33333333333334,92.18,0.9863260000000003,0.0,0.0
Sox/ Khí Sox,Ống khói lò nung men số 5,,Mar,2/12/2019,120.1,,,178.33333333333334,92.18,0.9863260000000003,624.0,615.4674240000002
Sox/ Khí Sox,Ống khói lò nung men số 5,,Apr,2/12/2019,120.1,,,178.33333333333334,92.18,0.9863260000000003,102.0,100.60525200000002
Sox/ Khí Sox,Ống khói lò nung men số 5,,May,2/12/2019,120.1,,,178.33333333333334,92.18,0.9863260000000003,0.0,0.0
Sox/ Khí Sox,Ống khói lò nung men số 5,,Jun,2/12/2019,120.1,,,178.33333333333334,92.18,0.9863260000000003,408.0,402.4210080000001
Sox/ Khí Sox,Ống khói lò nung men số 5,,Jul,2/12/2019,120.1,,,178.33333333333334,92.18,0.9863260000000003,696.0,686.4828960000002
Sox/ Khí Sox,Ống khói lò nung men số 5,,Aug,2/12/2019,120.1,,,178.33333333333334,92.18,0.9863260000000003,0.0,0.0
Sox/ Khí Sox,Ống khói lò nung men số 5,,Sep,2/12/2019,120.1,,,178.33333333333334,92.18,0.9863260000000003,0.0,0.0
Sox/ Khí Sox,Ống khói lò nung men số 5,,Oct,2/12/2019,120.1,,,178.33333333333334,92.18,0.9863260000000003,0.0,0.0
Sox/ Khí Sox,Ống khói lò nung men số 5,,Nov,2/12/2019,120.1,,,178.33333333333334,92.18,0.9863260000000003,0.0,0.0
Sox/ Khí Sox,Ống khói lò nung men số 5,,Dec,2/12/2019,120.1,,,178.33333333333334,92.18,0.9863260000000003,0.0,0.0
Sox/ Khí Sox,Ống khói lò nung men số 6,,Jan,2/12/2019,117.5,,,176.0,93.15,0.9836640000000001,424.0,417.07353600000005
Sox/ Khí Sox,Ống khói lò nung men số 6,,Feb,2/12/2019,117.5,,,176.0,93.15,0.9836640000000001,0.0,0.0
Sox/ Khí Sox,Ống khói lò nung men số 6,,Mar,2/12/2019,117.5,,,176.0,93.15,0.9836640000000001,600.0,590.1984000000001
Sox/ Khí Sox,Ống khói lò nung men số 6,,Apr,2/12/2019,117.5,,,176.0,93.15,0.9836640000000001,720.0,708.2380800000001
Sox/ Khí Sox,Ống khói lò nung men số 6,,May,2/12/2019,117.5,,,176.0,93.15,0.9836640000000001,744.0,731.8460160000001
Sox/ Khí Sox,Ống khói lò nung men số 6,,Jun,8/6/2020,109.3,,,176.0,95.4,1.007424,720.0,725.3452800000001
Sox/ Khí Sox,Ống khói lò nung men số 6,,Jul,8/6/2020,109.3,,,176.0,95.4,1.007424,744.0,749.5234560000001
Sox/ Khí Sox,Ống khói lò nung men số 6,,Aug,8/6/2020,109.3,,,176.0,95.4,1.007424,744.0,749.5234560000001
Sox/ Khí Sox,Ống khói lò nung men số 6,,Sep,8/6/2020,109.3,,,176.0,95.4,1.007424,720.0,725.3452800000001
Sox/ Khí Sox,Ống khói lò nung men số 6,,Oct,8/6/2020,109.3,,,176.0,95.4,1.007424,744.0,749.5234560000001
Sox/ Khí Sox,Ống khói lò nung men số 6,,Nov,8/6/2020,109.3,,,176.0,95.4,1.007424,720.0,725.3452800000001
Sox/ Khí Sox,Ống khói lò nung men số 6,,Dec,8/6/2020,109.3,,,176.0,95.4,1.007424,744.0,749.5234560000001
