category,name,original_name,unit,period,Month,value,has_data
Water_Withdrawal,Surface water (Lake) (DV),Surface water (Lake) (DV) (Nước mặt),m3,May,5,6393.0,1
Water_Withdrawal,Surface water (Lake) (YB),Surface water (Lake) (YB) (Nước Mặt),m3,May,5,0.0,1
Water_Withdrawal,Surface water (Lake) (DV+YB),Surface water (Lake) (DV+YB) (tổng nước mặt),m3,May,5,6393.0,1
Water_Withdrawal,Ground water (wells) (DV),Ground water (wells) (DV),m3,May,5,0.0,1
Water_Withdrawal,Tap wate (DV),Tap wate (DV) (Nước sạch),m3,May,5,631.0,1
Water_Withdrawal,Total Water Withdrawal (DV),Total Water Withdrawal (DV),m3,May,5,7024.0,1
Water_Withdrawal,Total Water Withdrawal (YB),Total Water Withdrawal (YB),m3,May,5,0.0,1
Water_Withdrawal,Total Water Withdrawal (DV+YB),Total Water Withdrawal (DV+YB),m3,May,5,7024.0,1
Water_Withdrawal,Specific Water Withdrawal (DV),Specific Water Withdrawal (DV),m3/ton,May,5,0.436496,1
Water_Withdrawal,Specific Water Withdrawal (YB),Specific Water Withdrawal (YB),m3/ton,May,5,0.0,0
Water_Withdrawal,Specific Water Withdrawal (DV+YB),Specific Water Withdrawal (DV+YB),m3/ton,May,5,0.436496,1
Water_Withdrawal,Surface water (Lake) (DV),Surface water (Lake) (DV) (Nước mặt),m3,Jun,6,6254.0,1
Water_Withdrawal,Surface water (Lake) (YB),Surface water (Lake) (YB) (Nước Mặt),m3,Jun,6,0.0,1
Water_Withdrawal,Surface water (Lake) (DV+YB),Surface water (Lake) (DV+YB) (tổng nước mặt),m3,Jun,6,6254.0,1
Water_Withdrawal,Ground water (wells) (DV),Ground water (wells) (DV),m3,Jun,6,0.0,1
Water_Withdrawal,Tap wate (DV),Tap wate (DV) (Nước sạch),m3,Jun,6,1524.0,1
Water_Withdrawal,Total Water Withdrawal (DV),Total Water Withdrawal (DV),m3,Jun,6,7778.0,1
Water_Withdrawal,Total Water Withdrawal (YB),Total Water Withdrawal (YB),m3,Jun,6,0.0,1
Water_Withdrawal,Total Water Withdrawal (DV+YB),Total Water Withdrawal (DV+YB),m3,Jun,6,7778.0,1
Water_Withdrawal,Specific Water Withdrawal (DV),Specific Water Withdrawal (DV),m3/ton,Jun,6,0.474037,1
Water_Withdrawal,Specific Water Withdrawal (YB),Specific Water Withdrawal (YB),m3/ton,Jun,6,0.0,0
Water_Withdrawal,Specific Water Withdrawal (DV+YB),Specific Water Withdrawal (DV+YB),m3/ton,Jun,6,0.474037,1
Water_Withdrawal,Surface water (Lake) (DV),Surface water (Lake) (DV) (Nước mặt),m3,Jul,7,6934.0,1
Water_Withdrawal,Surface water (Lake) (YB),Surface water (Lake) (YB) (Nước Mặt),m3,Jul,7,0.0,1
Water_Withdrawal,Surface water (Lake) (DV+YB),Surface water (Lake) (DV+YB) (tổng nước mặt),m3,Jul,7,6934.0,1
Water_Withdrawal,Ground water (wells) (DV),Ground water (wells) (DV),m3,Jul,7,0.0,1
Water_Withdrawal,Tap wate (DV),Tap wate (DV) (Nước sạch),m3,Jul,7,2083.0,1
Water_Withdrawal,Total Water Withdrawal (DV),Total Water Withdrawal (DV),m3,Jul,7,9017.0,1
Water_Withdrawal,Total Water Withdrawal (YB),Total Water Withdrawal (YB),m3,Jul,7,0.0,1
Water_Withdrawal,Total Water Withdrawal (DV+YB),Total Water Withdrawal (DV+YB),m3,Jul,7,9017.0,1
Water_Withdrawal,Specific Water Withdrawal (DV),Specific Water Withdrawal (DV),m3/ton,Jul,7,0.488612,1
Water_Withdrawal,Specific Water Withdrawal (YB),Specific Water Withdrawal (YB),m3/ton,Jul,7,0.0,0
Water_Withdrawal,Specific Water Withdrawal (DV+YB),Specific Water Withdrawal (DV+YB),m3/ton,Jul,7,0.488612,1
Water_Withdrawal,Surface water (Lake) (DV),Surface water (Lake) (DV) (Nước mặt),m3,Aug,8,6241.0,1
Water_Withdrawal,Surface water (Lake) (YB),Surface water (Lake) (YB) (Nước Mặt),m3,Aug,8,0.0,1
Water_Withdrawal,Surface water (Lake) (DV+YB),Surface water (Lake) (DV+YB) (tổng nước mặt),m3,Aug,8,6241.0,1
Water_Withdrawal,Ground water (wells) (DV),Ground water (wells) (DV),m3,Aug,8,0.0,1
Water_Withdrawal,Tap wate (DV),Tap wate (DV) (Nước sạch),m3,Aug,8,1586.0,1
Water_Withdrawal,Total Water Withdrawal (DV),Total Water Withdrawal (DV),m3,Aug,8,7827.0,1
Water_Withdrawal,Total Water Withdrawal (YB),Total Water Withdrawal (YB),m3,Aug,8,0.0,1
Water_Withdrawal,Total Water Withdrawal (DV+YB),Total Water Withdrawal (DV+YB),m3,Aug,8,7827.0,1
Water_Withdrawal,Specific Water Withdrawal (DV),Specific Water Withdrawal (DV),m3/ton,Aug,8,0.483756,1
Water_Withdrawal,Specific Water Withdrawal (YB),Specific Water Withdrawal (YB),m3/ton,Aug,8,0.0,0
Water_Withdrawal,Specific Water Withdrawal (DV+YB),Specific Water Withdrawal (DV+YB),m3/ton,Aug,8,0.483756,1
Water_Withdrawal,Surface water (Lake) (DV),Surface water (Lake) (DV) (Nước mặt),m3,Sep,9,5438.0,1
Water_Withdrawal,Surface water (Lake) (YB),Surface water (Lake) (YB) (Nước Mặt),m3,Sep,9,0.0,1
Water_Withdrawal,Surface water (Lake) (DV+YB),Surface water (Lake) (DV+YB) (tổng nước mặt),m3,Sep,9,5438.0,1
Water_Withdrawal,Ground water (wells) (DV),Ground water (wells) (DV),m3,Sep,9,0.0,0
Water_Withdrawal,Tap wate (DV),Tap wate (DV) (Nước sạch),m3,Sep,9,1369.0,1
Water_Withdrawal,Total Water Withdrawal (DV),Total Water Withdrawal (DV),m3,Sep,9,6807.0,1
Water_Withdrawal,Total Water Withdrawal (YB),Total Water Withdrawal (YB),m3,Sep,9,0.0,1
Water_Withdrawal,Total Water Withdrawal (DV+YB),Total Water Withdrawal (DV+YB),m3,Sep,9,6807.0,1
