Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,12,Unnamed: 67,Unnamed: 68,Unnamed: 69,Unnamed: 70,Unnamed: 71,Unnamed: 72,Unnamed: 73,Unnamed: 74,Unnamed: 75,Unnamed: 76,Unnamed: 77,Unnamed: 78,Unnamed: 79,Unnamed: 80,Unnamed: 81,Unnamed: 82,Unnamed: 83,Unnamed: 84,Unnamed: 85,Unnamed: 86,Unnamed: 87,Unnamed: 88,Unnamed: 89,Unnamed: 90,Unnamed: 91,Unnamed: 92,Unnamed: 93,Unnamed: 94,Unnamed: 95,Unnamed: 96,Unnamed: 97,Unnamed: 98,Unnamed: 99,Unnamed: 100,Unnamed: 101,Unnamed: 102,Unnamed: 103,Unnamed: 104,Unnamed: 105,Unnamed: 106,Unnamed: 107,Unnamed: 108,Unnamed: 109,Unnamed: 110,Unnamed: 111,Unnamed: 112,Unnamed: 113,Unnamed: 114,Unnamed: 115
Ống khói lò nung men số 3,,0.8,29/9/2019,117.7,,,138,52,0.43056,416,179.11296,29/9/2019,117.7,,,138,52,0.43056,448,192.89088,29/9/2019,117.7,,,138,52,0.43056,744,320.33664,3/4/2020,147.9,,,165,49.6,0.49104,720,353.54879999999997,3/4/2020,147.9,,,165,49.6,0.49104,744,365.33376,3/4/2020,147.9,,,165,49.6,0.49104,720,353.54879999999997,3/4/2020,147.9,,,165,49.6,0.49104,744,365.33376,3/4/2020,147.9,,,165,49.6,0.49104,744,365.33376,3/4/2020,147.9,,,165,49.6,0.49104,720,353.54879999999997,20/8/2020,107.8,,,202.33333333333334,47.9,0.581506,744,432.64046399999995,20/8/2020,107.8,,,202.33333333333334,47.9,0.581506,720,418.68431999999996,20/8/2020,107.8,,,202.33333333333334,47.9,0.581506,744,432.64046399999995,,,,,
Ống khói lò nung men số 4,,0.8,2/12/2019,150.4,,,177.5,51,0.54315,416,225.9504,2/12/2019,150.4,,,177.5,51,0.54315,448,243.33120000000002,2/12/2019,150.4,,,177.5,51,0.54315,744,404.10360000000003,2/12/2019,150.4,,,177.5,51,0.54315,720,391.06800000000004,2/12/2019,150.4,,,177.5,51,0.54315,744,404.10360000000003,2/12/2019,150.4,,,177.5,51,0.54315,720,391.06800000000004,2/12/2019,150.4,,,177.5,51,0.54315,744,404.10360000000003,2/12/2019,150.4,,,177.5,51,0.54315,744,404.10360000000003,2/12/2019,150.4,,,177.5,51,0.54315,48,26.0712,20/8/2020,111.4,,,174.16666666666666,46.2,0.48279,0,0,20/8/2020,111.4,,,174.16666666666666,46.2,0.48279,0,0,20/8/2020,111.4,,,174.16666666666666,46.2,0.48279,624,301.26096,,,,,
Ống khói lò nung men số 5,,0.8,2/12/2019,120.1,,,178.33333333333334,52.5,0.56175,424,238.182,2/12/2019,120.1,,,178.33333333333334,52.5,0.56175,0,0,2/12/2019,120.1,,,178.33333333333334,52.5,0.56175,624,350.532,2/12/2019,120.1,,,178.33333333333334,52.5,0.56175,102,57.2985,2/12/2019,120.1,,,178.33333333333334,52.5,0.56175,0,0,2/12/2019,120.1,,,178.33333333333334,52.5,0.56175,408,229.194,2/12/2019,120.1,,,178.33333333333334,52.5,0.56175,696,390.97799999999995,2/12/2019,120.1,,,178.33333333333334,52.5,0.56175,0,0,2/12/2019,120.1,,,178.33333333333334,52.5,0.56175,0,0,2/12/2019,120.1,,,178.33333333333334,52.5,0.56175,0,0,2/12/2019,120.1,,,178.33333333333334,52.5,0.56175,0,0,2/12/2019,120.1,,,178.33333333333334,52.5,0.56175,0,0,,,,,
Ống khói lò nung men số 6,,0.8,2/12/2019,117.5,,,176,53,0.55968,424,237.30432,2/12/2019,117.5,,,176,53,0.55968,0,0,2/12/2019,117.5,,,176,53,0.55968,600,335.808,2/12/2019,117.5,,,176,53,0.55968,720,402.96959999999996,2/12/2019,117.5,,,176,53,0.55968,744,416.40191999999996,8/6/2020,109.3,,,176,45.8,0.48364799999999997,720,348.22655999999995,8/6/2020,109.3,,,176,45.8,0.48364799999999997,744,359.83411199999995,8/6/2020,109.3,,,176,45.8,0.48364799999999997,744,359.83411199999995,8/6/2020,109.3,,,176,45.8,0.48364799999999997,720,348.22655999999995,8/6/2020,109.3,,,176,45.8,0.48364799999999997,744,359.83411199999995,8/6/2020,109.3,,,176,45.8,0.48364799999999997,720,348.22655999999995,8/6/2020,109.3,,,176,45.8,0.48364799999999997,744,359.83411199999995,,,,,
,,,,,,,,,0,,0,,,,,,,0,,0,,,,,,,0,,0,,,,,,,0,,0,,,,,,,0,,0,,,,,,,0,,0,,,,,,,0,,0,,,,,,,0,,0,,,,,,,0,,0,,,,,0,,0,,0,,,,,0,,0,,0,,,,,0,,0,,0,,,,,
Total Dust Emission (kg),,,,,,,,,,,4965.53368,,,,,,,,,2745.72448,,,,,,,,,7756.6824400000005,,,,,,,,,8161.8255,,,,,,,,,8392.045950000002,,,,,,,,,7431.486360000002,,,,,,,,,8198.776732,,,,,,,,,7231.821731999999,,,,,,,,,6486.6858600000005,,,,,,,,,5666.772663999999,,,,,,,,,6174.437320000001,,,,,,,,,6742.7916239999995,79954.584342,15467.9406,23985.357810000005,21917.284324,18584.001608
Specific Dust Emission (g/ton),,,,,,,,,,,516.7085674184341,,,,,,,,,435.13300526710645,,,,,,,,,437.41578109167716,,,,,,,,,516.7198609053067,,,,,,,,,521.5107117715742,,,,,,,,,452.9180392977649,,,,,,,,,444.27402589979545,,,,,,,,,446.97076640946335,,,,,,,,,534.4660077342811,,,,,,,,,454.6205254995479,,,,,,,,,501.0032780730994,,,,,,,,,421.3208256959431,8319.995673434076,1609.5787368296399,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Sox/ Khí Sox,,,Jan,,,,,,,,,Feb,,,,,,,,,Mar,,,,,,,,,Apr,,,,,,,,,May,,,,,,,,,Jun,,,,,,,,,Jul,,,,,,,,,Aug,,,,,,,,,Sep,,,,,,,,,Oct,,,,,,,,,Nov,,,,,,,,,Dec,,,,,,,,, YTD,Q1, Q2,Q3,Q4
Stack No.,Process,Diameter,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,"Sampling 
(Month/Year)","Stack 
Temperature",%Oxygen,Gas Velocity,Flow rate,"SOx Emission
Actual O2  ","SOx  Emission 
rate","Operation 
Hour",SOx  Emission,,,,,
,,m,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,MM/YYYY,๐C,%,m/s,m3/min,mg/m3,kg/hr,hr,kg,,,,,
Sấy phun 1,,1.3,2/12/2019,84.3,,,1416.6666666666667,15.72,1.3362000000000003,452,603.9624000000001,2/12/2019,84.3,,,1416.6666666666667,15.72,1.3362000000000003,0,0,2/12/2019,84.3,,,1416.6666666666667,15.72,1.3362000000000003,593,792.3666000000002,3/4/2020,82.3,,,1416.6666666666667,18,1.53,671,1026.63,3/4/2020,82.3,,,1416.6666666666667,18,1.53,689,1054.17,8/6/2020,95.5,,,1416.6666666666667,92.2,7.837,673,5274.3009999999995,8/6/2020,95.5,,,1416.6666666666667,92.2,7.837,714,5595.6179999999995,8/6/2020,95.5,,,1416.6666666666667,92.2,7.837,637,4992.169,8/6/2020,95.5,,,1416.6666666666667,92.2,7.837,466,3652.042,20/8/2020,96.2,,,1416.6666666666667,94.2,8.007,680,5444.76,20/8/2020,96.2,,,1416.6666666666667,94.2,8.007,683,5468.781,20/8/2020,96.2,,,1416.6666666666667,94.2,8.007,660,5284.62,,,,,
Sấy phun 2,,1.3,2/12/2019,87.1,,,1416.6666666666667,18.34,1.5589,400,623.56,2/12/2019,87.1,,,1416.6666666666667,18.34,1.5589,424,660.9736,2/12/2019,87.1,,,1416.6666666666667,18.34,1.5589,654,1019.5206,3/4/2020,71.9,,,1416.6666666666667,16.2,1.377,475,654.075,3/4/2020,71.9,,,1416.6666666666667,16.2,1.377,499.7,688.0869,8/6/2020,94.1,,,1416.6666666666667,93.6,7.956,513.6,4086.2016000000003,8/6/2020,94.1,,,1416.6666666666667,93.6,7.956,611,4861.116,8/6/2020,94.1,,,1416.6666666666667,93.6,7.956,531,4224.636,8/6/2020,94.1,,,1416.6666666666667,93.6,7.956,621,4940.676,20/8/2020,95.1,,,1416.6666666666667,94.7,8.0495,200,1609.9,20/8/2020,95.1,,,1416.6666666666667,94.7,8.0495,360,2897.82,20/8/2020,95.1,,,1416.6666666666667,94.7,8.0495,436,3509.582,,,,,
"Ống khói lò nung xương 1,2",,0.8,2/12/2019,153.2,,,173.33333333333334,83.84,0.8719360000000002,384,334.82342400000005,2/12/2019,153.2,,,173.33333333333334,83.84,0.8719360000000002,328,285.99500800000004,2/12/2019,153.2,,,173.33333333333334,83.84,0.8719360000000002,744,648.7203840000001,3/4/2020,130,,,181.66666666666666,89.1,0.9711899999999999,720,699.2567999999999,3/4/2020,130,,,181.66666666666666,89.1,0.9711899999999999,744,722.5653599999999,8/6/2020,119.3,,,181.66666666666666,91.7,0.9995299999999999,720,719.6615999999999,8/6/2020,119.3,,,181.66666666666666,91.7,0.9995299999999999,744,743.65032,8/6/2020,119.3,,,181.66666666666666,91.7,0.9995299999999999,744,743.65032,8/6/2020,119.3,,,181.66666666666666,91.7,0.9995299999999999,720,719.6615999999999,20/8/2020,121.5,,,154,92.4,0.853776,744,635.209344,20/8/2020,121.5,,,154,92.4,0.853776,720,614.71872,20/8/2020,121.5,,,154,92.4,0.853776,744,635.209344,,,,,
"Ống khói lò nung xương 3,4",,0.8,2/12/2019,159.1,,,188.33333333333334,84.71,0.957223,416,398.204768,2/12/2019,159.1,,,188.33333333333334,84.71,0.957223,448,428.835904,2/12/2019,159.1,,,188.33333333333334,84.71,0.957223,744,712.1739120000001,3/4/2020,120.1,,,186.66666666666666,83.3,0.9329599999999999,720,671.7312,3/4/2020,120.1,,,186.66666666666666,83.3,0.9329599999999999,744,694.1222399999999,8/6/2020,120.6,,,186.66666666666666,95.3,1.06736,720,768.4992000000001,8/6/2020,120.6,,,186.66666666666666,95.3,1.06736,744,794.11584,8/6/2020,120.6,,,186.66666666666666,95.3,1.06736,744,794.11584,8/6/2020,120.6,,,186.66666666666666,95.3,1.06736,720,768.4992000000001,20/8/2020,122.7,,,158.33333333333334,96.1,0.91295,744,679.2348000000001,20/8/2020,122.7,,,158.33333333333334,96.1,0.91295,720,657.3240000000001,20/8/2020,122.7,,,158.33333333333334,96.1,0.91295,744,679.2348000000001,,,,,
"Ống khói lò nung xương 5,6",,0.8,2/12/2019,146.5,,,175.5,80.19,0.8444007,424,358.0258968,2/12/2019,146.5,,,175.5,80.19,0.8444007,0,0,2/12/2019,146.5,,,175.5,80.19,0.8444007,624,526.9060368,3/4/2020,145.9,,,175,91.2,0.9576,720,689.472,3/4/2020,145.9,,,175,91.2,0.9576,744,712.4544,8/6/2020,117.5,,,175,92.7,0.97335,720,700.812,8/6/2020,117.5,,,175,92.7,0.97335,744,724.1724,8/6/2020,117.5,,,175,92.7,0.97335,744,724.1724,8/6/2020,117.5,,,175,92.7,0.97335,720,700.812,20/8/2020,118.6,,,194.16666666666666,93.8,1.09277,744,813.02088,20/8/2020,118.6,,,194.16666666666666,93.8,1.09277,720,786.7944,20/8/2020,118.6,,,194.16666666666666,93.8,1.09277,744,813.02088,,,,,
