Unnamed: 0,Unnamed: 1,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7,Unnamed: 8,Unnamed: 9,Unnamed: 10,Unnamed: 11,Unnamed: 12,Unnamed: 13,Unnamed: 14,Unnamed: 15,Unnamed: 16,Unnamed: 17,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25,Unnamed: 26,Unnamed: 27,Unnamed: 28,Unnamed: 29,Unnamed: 30,Unnamed: 31,Unnamed: 32,Unnamed: 33,Unnamed: 34,Unnamed: 35,Unnamed: 36,Unnamed: 37,Unnamed: 38,Unnamed: 39,Unnamed: 40,Unnamed: 41,Unnamed: 42,Unnamed: 43,Unnamed: 44,Unnamed: 45,Unnamed: 46,Unnamed: 47,Unnamed: 48,Unnamed: 49,Unnamed: 50,Unnamed: 51,Unnamed: 52,Unnamed: 53,Unnamed: 54,Unnamed: 55,Unnamed: 56,Unnamed: 57,Unnamed: 58,Unnamed: 59,Unnamed: 60,Unnamed: 61,Unnamed: 62,Unnamed: 63,Unnamed: 64,Unnamed: 65,Unnamed: 66
Hazardous Waste (ton)/ CHẤT THẢI NGUY HẠI,Jan,,,,,Feb,,,,,Mar,,,,,Apr,,,,,May,,,,,Jun,,,,,Jul,,,,,Aug,,,,,Sep,,,,,Oct,,,,,Nov,,,,,Dec,,,,,,,,Total (Jan-Dec),,
,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,Incoming Stock/ Tồn đầu,Waste generated/ Chất thải phát sinh,Waste Management,,,"Outgoing Stock
(Estimate)","Outgoing Stock
(Actual)","Waste generated
(Actual)",Waste generated,Landfill,
,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,Reuse/Recycle/ Tái sử dụng,Incineration/ Chất thải đốt,Landfill/ CHất thải chôn lấp,,,,,,
"Contaminated Cloth/ Bao gồm giẻ lau, gang tay dính hóa chất, dính dầu",0.34719999999999973,0.03,,,,0.37719999999999976,0.40420000000000006,,,,0.7813999999999999,0.3202,,,,1.1016,0.20310000000000003,,,,1.3047,0.114,,,,1.4187,0.215,,0.8,,0.8337000000000001,0.149,,,,0.9827000000000001,0.198,,,,1.1807,0.136,,,,1.3167,0.1215,,,,1.4382,0.19,,,,1.6281999999999999,0.182,,,,1.8101999999999998,,-1.6281999999999999,,,2.2630000000000003
Used oil/ Tất cả các loại dầu đã qua sử dụng thải,5.852599999999999,0,,,,5.852599999999999,6.0424,,11.094999999999999,,0.8000000000000007,2,,,,2.8000000000000007,0.2,,,,3.000000000000001,0,,,,3.000000000000001,1,,,,4.000000000000001,0,,,,4.000000000000001,0.2,,3.062,,1.1380000000000012,0,,,,1.1380000000000012,0.2,,,,1.3380000000000012,0,,,,1.3380000000000012,1.7,,,,3.038000000000001,,-1.3380000000000012,,,0.45280000000000054
"Package contaminated / Vỏ thùng sơn, vỏ thùng dính dầu thải, các loại bao bì nhựa hoặc kim loại dính hóa chất,",2.4129999999999994,0.1281,,,,2.5410999999999992,0.18660000000000002,0.805,,,1.922699999999999,0.2339,,,,2.156599999999999,0.1807,,,,2.337299999999999,0.201,,,,2.538299999999999,0.333,0.96,,,1.9112999999999993,0.1405,,,,2.051799999999999,0.934,1.795,,,1.1907999999999994,0.1742,,,,1.3649999999999993,0.2145,,,,1.5794999999999992,0.2105,,,,1.7899999999999991,0.185,,,,1.9749999999999992,,-1.7899999999999991,,,
"Electronic equipment / Các thiết bị điện thải bao gồm các thiết bị điện, các loại bóng đèn thải, ắc quy, pin hỏng",0.14840000000000003,0.013,,,,0.16140000000000004,0.022,,,,0.18340000000000004,0.0096,,,,0.19300000000000003,0.005,,,,0.19800000000000004,0,,,,0.19800000000000004,0.01,,,,0.20800000000000005,0.007,,,,0.21500000000000005,0.0183,,0.076,,0.15730000000000005,0.015,,,,0.17230000000000006,0.008,,,,0.18030000000000007,0.003,,,,0.18330000000000007,0.005,,,,0.18830000000000008,,-0.18330000000000007,,,
"Insulation/ Vật liệu cách nhiệt (amiăng thải, bông thủy tinh)",1.699799999999995,0.029,,,,1.728799999999995,0.3042,,,,2.032999999999995,0.078,,,,2.110999999999995,0.1418,,,,2.252799999999995,0.231,,,,2.4837999999999947,0.059500000000000004,,,,2.5432999999999946,0.004,,,,2.5472999999999946,0.007,,,,2.5542999999999947,0.108,,,,2.662299999999995,5.015,,6.46,,1.2172999999999945,0.005,,,,1.2222999999999944,0.03,,,,1.2522999999999944,,-1.2222999999999944,,,
Đất dính hóa chất,0.2316,0,,,,0.2316,0,,,,0.2316,0,,,,0.2316,0,,,,0.2316,0,,,,0.2316,0,,,,0.2316,0,,,,0.2316,0,,,,0.2316,0,,,,0.2316,0,,,,0.2316,0,,,,0.2316,0,,,,0.2316,,-0.2316,,,
Cặn rắn từ quá trình sử lý men,0.040000000000000036,0,,,,0.040000000000000036,0,,,,0.040000000000000036,0,,,,0.040000000000000036,0,,,,0.040000000000000036,0,,,,0.040000000000000036,0,,,,0.040000000000000036,0,,,,0.040000000000000036,0,,,,0.040000000000000036,0,,,,0.040000000000000036,0,,,,0.040000000000000036,0,,,,0.040000000000000036,0,,,,0.040000000000000036,,-0.040000000000000036,,,
