name,unit,period,value
Limestone,ton,Q4,5121.255
Clay,ton,Q4,30935.74
Sand,ton,Q4,0.0
Gypsum,ton,Q4,0.0
Laterite,ton,Q4,0.0
Cement,ton,Q4,0.0
Feldspar,ton,Q4,2647.1000000000004
Aggregate,ton,Q4,0.0
Pottery Stone,ton,Q4,0.0
Glazing,ton,Q4,3200.722
Recycled Mat,ton,Q4,2820.27
Others,ton,Q4,0.0
