attribute,unit,period,value
Water Recycle,m3, Jan,3047
Water Recycle,m3, Feb,2139
Water Recycle,m3, Mar,5669
Water Recycle,m3, Apr,5231
Water Recycle,m3, May,4453
Water Recycle,m3, Jun,4245
Water Recycle,m3, Jul,6172
Water Recycle,m3, Aug,5372
Water Recycle,m3, Sep,4704
Water Recycle,m3, Oct,4552
Water Recycle,m3, Nov,5187
Water Recycle,m3, Dec,5392
