category,name,original_name,unit,period,value
Energy Consumption,Coal 4A.1 (DV),Coal/ Than 4A.1 (DV),Ton,May,774.19
Energy Consumption,Coal import coal (DV),Coal/ Than import coal (DV) (than nhập khẩu),Ton,May,0.0
Energy Consumption,Coal 5A under screen DV,Than cám qua sàng / Than 5A under screen DV,Ton,May,204.699
Energy Consumption,Coal 5A (YB),Coal/ Than 5A (YB),Ton,May,0.0
Energy Consumption,Coal 4A.1 (YB),Coal/ Than 4A.1 (YB),Ton,May,0.0
Energy Consumption,Coal import coal (YB),Coal/ Than import coal (YB) (than nhập khẩu),Ton,May,0.0
Energy Consumption,Coal 5A under screen YB,Than cám qua sàng / Than 5A under screen YB,Ton,May,0.0
Energy Consumption,Coal 5A (DV+YB),Coal/ Than 5A (DV+YB),Ton,May,2197.301
Energy Consumption,Coal 4A.1 (DV+YB),Coal/ Than 4A.1 (DV+YB),Ton,May,774.19
Energy Consumption,Coal import coal (DV+YB),Coal/ Than import coal (DV+YB),Ton,May,0.0
Energy Consumption,Coal  5A under screen  (DV+YB),Coal/ Than  5A under screen  (DV+YB),Ton,May,204.699
Energy Consumption,Total Coal DV,Total Coal DV,Ton,May,3176.19
Energy Consumption,Total Coal YB,Total Coal YB,Ton,May,0.0
Energy Consumption,Total Coal,Total Coal,Ton,May,3176.19
Energy Consumption,Coal heating value 5A,Coal heating value 5A (Nhiệt trị theo báo cáo gửi ban NL),cal/g,May,7350.0
Energy Consumption,Coal heating value 4A.1,Coal heating value 4A.1 (lấy theo nhiệt trị của ban NL),cal/g,May,5780.0
Energy Consumption,Coal heating value import coal,Coal heating value import coal (Nhiệt trị theo ban NL),cal/g,May,5520.0
Energy Consumption,Coal heating value5A under screen,Coal heating value5A under screen  (Nhiệt trị theo ban NL),cal/g,May,6810.0
Energy Consumption,Coal Heating Value average,Coal Heating Value average,cal/g,May,6932.514
Energy Consumption,Coal Gas (DV),Coal Gas (DV) (Nhiệt trị theo phiếu kiểm tra),Mcal,May,15879436.249
Energy Consumption,Coal Gas (YB),Coal Gas (YB) (Nhiệt trị theo phiếu kiểm tra),Mcal,May,0.0
Energy Consumption,Total Coal Gas,Total Coal Gas,Mcal,May,15879436.249
Energy Consumption,Lignite,Lignite/ Than non,Ton,May,0.0
Energy Consumption,Natural Gas,Natural Gas/ Khí gas tự nhiên,Ton,May,0.0
Energy Consumption,Co-generation (Heat),Co-generation (Heat)/ Đồng phát nhiệt điện,Ton,May,0.0
Energy Consumption,LPG for Process used (Station),LPG for Process used (Station)/ LPG dùng cho trạm (dùng cho lò nung),Ton,May,0.0
Energy Consumption,Heavy fuel oil / Bunker oil,Heavy fuel oil / Bunker oil/ Dầu nặng hoặc dàu chạy tàu,Ton,May,0.0
Energy Consumption,Diesel oil (Mobile),Diesel oil (Mobile) Dầu xe,Litre,May,27582.0
Energy Consumption,Gasoline,Gasoline (xăng bơm chữa cháy),Litre,May,0.0
Energy Consumption,Steam,Steam/ Hơi nước,Ton,May,0.0
Energy Consumption,Solid Biomass (DV),Solid Biomass (DV) (Củi+rác đốt là cây…+ Gỗ băm),Ton,May,27.452
Energy Consumption,Solid Biomass (YB),Solid Biomass (YB) (Củi+rác đốt),Ton,May,0.0
Energy Consumption,Total Solid Biomass,Total Solid Biomass,Ton,May,27.452
Energy Consumption,Solid Biomass heating Value,Solid Biomass heating Value (Nhiệt trị),cal/g,May,3000.0
Energy Consumption,Electricity,Electricity/ Điện (DV),MWh,May,2088.979
Energy Consumption,Electricity,Electricity/ Điện (YB),MWh,May,0.0
Energy Consumption,Total Electricity,Total Electricity,MWh,May,2088.979
Energy Consumption,Co-generation (Power),Co-generation (Power)/ Năng lượng đồng phát nhiệt điện,MWh,May,0.0
Energy Consumption,Solar Cell (Renewable Energy),Solar Cell (Renewable Energy)/ Năng lượng mặt trời,MWh,May,0.0
Energy Consumption,"Total Thermal Consumption-Coal, Biomass (DV)","Total Thermal Consumption-Coal, Biomass (DV)",GJ,May,93520.732
Energy Consumption,"Total Thermal Consumption-Coal, Biomass (YB)","Total Thermal Consumption-Coal, Biomass (YB)",GJ,May,0.0
Energy Consumption,"Total Thermal Consumption-Coal, Biomass","Total Thermal Consumption-Coal, Biomass",GJ,May,93520.732
Energy Consumption,Total Thermal Consumption-Coal Gas (DV),Total Thermal Consumption-Coal Gas (DV),GJ,May,67475.857
Energy Consumption,Total Thermal Consumption-Coal Gas (YB),Total Thermal Consumption-Coal Gas (YB),GJ,May,0.0
Energy Consumption,Total Thermal Consumption-Coal Gas,Total Thermal Consumption-Coal Gas,GJ,May,67475.857
Energy Consumption,Total Electrical Consumption (DV),Total Electrical Consumption (DV),GJ,May,7520.325
Energy Consumption,Total Electrical Consumption (YB),Total Electrical Consumption (YB),GJ,May,0.0
Energy Consumption,Total Electrical Consumption,Total Electrical Consumption,GJ,May,7520.325
Energy Consumption,Total Renewable Energy (DV),Total Renewable Energy (DV),GJ,May,344.742
Energy Consumption,Total Renewable Energy (YB),Total Renewable Energy (YB),GJ,May,0.0
Energy Consumption,Total Renewable Energy,Total Renewable Energy,GJ,May,344.742
Energy Consumption,"Total Energy Consumption-Coal, Biomass (DV)","Total Energy Consumption-Coal, Biomass (DV)",GJ,May,101041.057
Energy Consumption,"Total Energy Consumption-Coal, Biomass (YB)","Total Energy Consumption-Coal, Biomass (YB)",GJ,May,0.0
Energy Consumption,"Total Energy Consumption-Coal, Biomass","Total Energy Consumption-Coal, Biomass",GJ,May,101041.057
Energy Consumption,Total Energy Consumption-Coal Gas (DV),Total Energy Consumption-Coal Gas (DV),GJ,May,74996.182
Energy Consumption,Total Energy Consumption-Coal Gas (YB),Total Energy Consumption-Coal Gas (YB),GJ,May,0.0
Energy Consumption,Total Energy Consumption-Coal Gas,Total Energy Consumption-Coal Gas,GJ,May,74996.182
Energy Consumption,"Specific Energy Consumption-Coal, Biomass (DV)","Specific Energy Consumption-Coal, Biomass (DV)",GJ/ton,May,6.279
Energy Consumption,"Specific Energy Consumption-Coal, Biomass (YB)","Specific Energy Consumption-Coal, Biomass (YB)",GJ/ton,May,0.0
Energy Consumption,"Specific Energy Consumption-Coal, Biomass","Specific Energy Consumption-Coal, Biomass",GJ/ton,May,6.279
Energy Consumption,Specific Energy Consumption-Coal Gas (DV),Specific Energy Consumption-Coal Gas (DV),GJ/ton,May,4.661
Energy Consumption,Specific Energy Consumption-Coal Gas (YB),Specific Energy Consumption-Coal Gas (YB),GJ/ton,May,0.0
Energy Consumption,Specific Energy Consumption-Coal Gas,Specific Energy Consumption-Coal Gas,GJ/ton,May,4.661
Energy Consumption,Coal 5A (DV),Coal/ Than 5A (DV),Ton,Jun,2170.99
Energy Consumption,Coal 4A.1 (DV),Coal/ Than 4A.1 (DV),Ton,Jun,319.418
Energy Consumption,Coal import coal (DV),Coal/ Than import coal (DV) (than nhập khẩu),Ton,Jun,434.63
Energy Consumption,Coal 5A under screen DV,Than cám qua sàng / Than 5A under screen DV,Ton,Jun,201.01
Energy Consumption,Coal 5A (YB),Coal/ Than 5A (YB),Ton,Jun,0.0
Energy Consumption,Coal 4A.1 (YB),Coal/ Than 4A.1 (YB),Ton,Jun,0.0
Energy Consumption,Coal import coal (YB),Coal/ Than import coal (YB) (than nhập khẩu),Ton,Jun,0.0
Energy Consumption,Coal 5A under screen YB,Than cám qua sàng / Than 5A under screen YB,Ton,Jun,0.0
Energy Consumption,Coal 5A (DV+YB),Coal/ Than 5A (DV+YB),Ton,Jun,2170.99
Energy Consumption,Coal 4A.1 (DV+YB),Coal/ Than 4A.1 (DV+YB),Ton,Jun,319.418
Energy Consumption,Coal import coal (DV+YB),Coal/ Than import coal (DV+YB),Ton,Jun,434.63
Energy Consumption,Coal  5A under screen  (DV+YB),Coal/ Than  5A under screen  (DV+YB),Ton,Jun,201.01
Energy Consumption,Total Coal DV,Total Coal DV,Ton,Jun,3126.048
Energy Consumption,Total Coal YB,Total Coal YB,Ton,Jun,0.0
Energy Consumption,Total Coal,Total Coal,Ton,Jun,3126.048
Energy Consumption,Coal heating value 5A,Coal heating value 5A (Nhiệt trị theo báo cáo gửi ban NL),cal/g,Jun,7350.0
Energy Consumption,Coal heating value 4A.1,Coal heating value 4A.1 (lấy theo nhiệt trị của ban NL),cal/g,Jun,5780.0
Energy Consumption,Coal heating value import coal,Coal heating value import coal (Nhiệt trị theo ban NL),cal/g,Jun,5520.0
Energy Consumption,Coal heating value5A under screen,Coal heating value5A under screen  (Nhiệt trị theo ban NL),cal/g,Jun,6810.0
Energy Consumption,Coal Heating Value average,Coal Heating Value average,cal/g,Jun,6900.421
Energy Consumption,Coal Gas (DV),Coal Gas (DV) (Nhiệt trị theo phiếu kiểm tra),Mcal,Jun,16129496.023
Energy Consumption,Coal Gas (YB),Coal Gas (YB) (Nhiệt trị theo phiếu kiểm tra),Mcal,Jun,0.0
Energy Consumption,Total Coal Gas,Total Coal Gas,Mcal,Jun,16129496.023
Energy Consumption,Lignite,Lignite/ Than non,Ton,Jun,0.0
Energy Consumption,Natural Gas,Natural Gas/ Khí gas tự nhiên,Ton,Jun,0.0
Energy Consumption,Co-generation (Heat),Co-generation (Heat)/ Đồng phát nhiệt điện,Ton,Jun,0.0
Energy Consumption,LPG for Process used (Station),LPG for Process used (Station)/ LPG dùng cho trạm (dùng cho lò nung),Ton,Jun,0.0
Energy Consumption,Heavy fuel oil / Bunker oil,Heavy fuel oil / Bunker oil/ Dầu nặng hoặc dàu chạy tàu,Ton,Jun,0.0
Energy Consumption,Diesel oil (Mobile),Diesel oil (Mobile) Dầu xe,Litre,Jun,25780.0
Energy Consumption,Gasoline,Gasoline (xăng bơm chữa cháy),Litre,Jun,0.0
Energy Consumption,Steam,Steam/ Hơi nước,Ton,Jun,0.0
Energy Consumption,Solid Biomass (DV),Solid Biomass (DV) (Củi+rác đốt là cây…+ Gỗ băm),Ton,Jun,222.986
Energy Consumption,Solid Biomass (YB),Solid Biomass (YB) (Củi+rác đốt),Ton,Jun,0.0
Energy Consumption,Total Solid Biomass,Total Solid Biomass,Ton,Jun,222.986
Energy Consumption,Solid Biomass heating Value,Solid Biomass heating Value (Nhiệt trị),cal/g,Jun,3000.0
Energy Consumption,Electricity,Electricity/ Điện (DV),MWh,Jun,2154.046
Energy Consumption,Electricity,Electricity/ Điện (YB),MWh,Jun,0.0
Energy Consumption,Total Electricity,Total Electricity,MWh,Jun,2154.046
Energy Consumption,Co-generation (Power),Co-generation (Power)/ Năng lượng đồng phát nhiệt điện,MWh,Jun,0.0
Energy Consumption,Solar Cell (Renewable Energy),Solar Cell (Renewable Energy)/ Năng lượng mặt trời,MWh,Jun,0.0
Energy Consumption,"Total Thermal Consumption-Coal, Biomass (DV)","Total Thermal Consumption-Coal, Biomass (DV)",GJ,Jun,94035.574
Energy Consumption,"Total Thermal Consumption-Coal, Biomass (YB)","Total Thermal Consumption-Coal, Biomass (YB)",GJ,Jun,0.0
Energy Consumption,"Total Thermal Consumption-Coal, Biomass","Total Thermal Consumption-Coal, Biomass",GJ,Jun,94035.574
Energy Consumption,Total Thermal Consumption-Coal Gas (DV),Total Thermal Consumption-Coal Gas (DV),GJ,Jun,68456.978
Energy Consumption,Total Thermal Consumption-Coal Gas (YB),Total Thermal Consumption-Coal Gas (YB),GJ,Jun,0.0
Energy Consumption,Total Thermal Consumption-Coal Gas,Total Thermal Consumption-Coal Gas,GJ,Jun,68456.978
Energy Consumption,Total Electrical Consumption (DV),Total Electrical Consumption (DV),GJ,Jun,7754.567
Energy Consumption,Total Electrical Consumption (YB),Total Electrical Consumption (YB),GJ,Jun,0.0
Energy Consumption,Total Electrical Consumption,Total Electrical Consumption,GJ,Jun,7754.567
Energy Consumption,Total Renewable Energy (DV),Total Renewable Energy (DV),GJ,Jun,2800.258
Energy Consumption,Total Renewable Energy (YB),Total Renewable Energy (YB),GJ,Jun,0.0
Energy Consumption,Total Renewable Energy,Total Renewable Energy,GJ,Jun,2800.258
Energy Consumption,"Total Energy Consumption-Coal, Biomass (DV)","Total Energy Consumption-Coal, Biomass (DV)",GJ,Jun,101790.141
Energy Consumption,"Total Energy Consumption-Coal, Biomass (YB)","Total Energy Consumption-Coal, Biomass (YB)",GJ,Jun,0.0
Energy Consumption,"Total Energy Consumption-Coal, Biomass","Total Energy Consumption-Coal, Biomass",GJ,Jun,101790.141
Energy Consumption,Total Energy Consumption-Coal Gas (DV),Total Energy Consumption-Coal Gas (DV),GJ,Jun,76211.545
Energy Consumption,Total Energy Consumption-Coal Gas (YB),Total Energy Consumption-Coal Gas (YB),GJ,Jun,0.0
Energy Consumption,Total Energy Consumption-Coal Gas,Total Energy Consumption-Coal Gas,GJ,Jun,76211.545
Energy Consumption,"Specific Energy Consumption-Coal, Biomass (DV)","Specific Energy Consumption-Coal, Biomass (DV)",GJ/ton,Jun,6.204
Energy Consumption,"Specific Energy Consumption-Coal, Biomass (YB)","Specific Energy Consumption-Coal, Biomass (YB)",GJ/ton,Jun,0.0
Energy Consumption,"Specific Energy Consumption-Coal, Biomass","Specific Energy Consumption-Coal, Biomass",GJ/ton,Jun,6.204
Energy Consumption,Specific Energy Consumption-Coal Gas (DV),Specific Energy Consumption-Coal Gas (DV),GJ/ton,Jun,4.645
Energy Consumption,Specific Energy Consumption-Coal Gas (YB),Specific Energy Consumption-Coal Gas (YB),GJ/ton,Jun,0.0
Energy Consumption,Specific Energy Consumption-Coal Gas,Specific Energy Consumption-Coal Gas,GJ/ton,Jun,4.645
Energy Consumption,Coal 5A (DV),Coal/ Than 5A (DV),Ton,Jul,2442.916
Energy Consumption,Coal 4A.1 (DV),Coal/ Than 4A.1 (DV),Ton,Jul,508.88
Energy Consumption,Coal import coal (DV),Coal/ Than import coal (DV) (than nhập khẩu),Ton,Jul,375.27
Energy Consumption,Coal 5A under screen DV,Than cám qua sàng / Than 5A under screen DV,Ton,Jul,188.848
Energy Consumption,Coal 5A (YB),Coal/ Than 5A (YB),Ton,Jul,0.0
Energy Consumption,Coal 4A.1 (YB),Coal/ Than 4A.1 (YB),Ton,Jul,0.0
Energy Consumption,Coal import coal (YB),Coal/ Than import coal (YB) (than nhập khẩu),Ton,Jul,0.0
Energy Consumption,Coal 5A under screen YB,Than cám qua sàng / Than 5A under screen YB,Ton,Jul,0.0
Energy Consumption,Coal 5A (DV+YB),Coal/ Than 5A (DV+YB),Ton,Jul,2442.916
Energy Consumption,Coal 4A.1 (DV+YB),Coal/ Than 4A.1 (DV+YB),Ton,Jul,508.88
Energy Consumption,Coal import coal (DV+YB),Coal/ Than import coal (DV+YB),Ton,Jul,375.27
Energy Consumption,Coal  5A under screen  (DV+YB),Coal/ Than  5A under screen  (DV+YB),Ton,Jul,188.848
Energy Consumption,Total Coal DV,Total Coal DV,Ton,Jul,3515.914
Energy Consumption,Total Coal YB,Total Coal YB,Ton,Jul,0.0
Energy Consumption,Total Coal,Total Coal,Ton,Jul,3515.914
Energy Consumption,Coal heating value 5A,Coal heating value 5A (Nhiệt trị theo báo cáo gửi ban NL),cal/g,Jul,7350.0
Energy Consumption,Coal heating value 4A.1,Coal heating value 4A.1 (lấy theo nhiệt trị của ban NL),cal/g,Jul,5780.0
Energy Consumption,Coal heating value import coal,Coal heating value import coal (Nhiệt trị theo ban NL),cal/g,Jul,5520.0
Energy Consumption,Coal heating value5A under screen,Coal heating value5A under screen  (Nhiệt trị theo ban NL),cal/g,Jul,6810.0
Energy Consumption,Coal Heating Value average,Coal Heating Value average,cal/g,Jul,6898.435
Energy Consumption,Coal Gas (DV),Coal Gas (DV) (Nhiệt trị theo phiếu kiểm tra),Mcal,Jul,18191175.304
Energy Consumption,Coal Gas (YB),Coal Gas (YB) (Nhiệt trị theo phiếu kiểm tra),Mcal,Jul,0.0
Energy Consumption,Total Coal Gas,Total Coal Gas,Mcal,Jul,18191175.304
Energy Consumption,Lignite,Lignite/ Than non,Ton,Jul,0.0
Energy Consumption,Natural Gas,Natural Gas/ Khí gas tự nhiên,Ton,Jul,0.0
Energy Consumption,Co-generation (Heat),Co-generation (Heat)/ Đồng phát nhiệt điện,Ton,Jul,0.0
Energy Consumption,LPG for Process used (Station),LPG for Process used (Station)/ LPG dùng cho trạm (dùng cho lò nung),Ton,Jul,0.0
Energy Consumption,Heavy fuel oil / Bunker oil,Heavy fuel oil / Bunker oil/ Dầu nặng hoặc dàu chạy tàu,Ton,Jul,0.0
Energy Consumption,Diesel oil (Mobile),Diesel oil (Mobile) Dầu xe,Litre,Jul,27627.0
Energy Consumption,Gasoline,Gasoline (xăng bơm chữa cháy),Litre,Jul,0.0
Energy Consumption,Steam,Steam/ Hơi nước,Ton,Jul,0.0
Energy Consumption,Solid Biomass (DV),Solid Biomass (DV) (Củi+rác đốt là cây…+ Gỗ băm),Ton,Jul,345.63
Energy Consumption,Solid Biomass (YB),Solid Biomass (YB) (Củi+rác đốt),Ton,Jul,0.0
Energy Consumption,Total Solid Biomass,Total Solid Biomass,Ton,Jul,345.63
Energy Consumption,Solid Biomass heating Value,Solid Biomass heating Value (Nhiệt trị),cal/g,Jul,3000.0
Energy Consumption,Electricity,Electricity/ Điện (DV),MWh,Jul,2334.834
Energy Consumption,Electricity,Electricity/ Điện (YB),MWh,Jul,0.0
Energy Consumption,Total Electricity,Total Electricity,MWh,Jul,2334.834
Energy Consumption,Co-generation (Power),Co-generation (Power)/ Năng lượng đồng phát nhiệt điện,MWh,Jul,0.0
Energy Consumption,Solar Cell (Renewable Energy),Solar Cell (Renewable Energy)/ Năng lượng mặt trời,MWh,Jul,0.0
Energy Consumption,"Total Thermal Consumption-Coal, Biomass (DV)","Total Thermal Consumption-Coal, Biomass (DV)",GJ,Jul,106947.955
Energy Consumption,"Total Thermal Consumption-Coal, Biomass (YB)","Total Thermal Consumption-Coal, Biomass (YB)",GJ,Jul,0.0
Energy Consumption,"Total Thermal Consumption-Coal, Biomass","Total Thermal Consumption-Coal, Biomass",GJ,Jul,106947.955
Energy Consumption,Total Thermal Consumption-Coal Gas (DV),Total Thermal Consumption-Coal Gas (DV),GJ,Jul,77227.275
Energy Consumption,Total Thermal Consumption-Coal Gas (YB),Total Thermal Consumption-Coal Gas (YB),GJ,Jul,0.0
Energy Consumption,Total Thermal Consumption-Coal Gas,Total Thermal Consumption-Coal Gas,GJ,Jul,77227.275
Energy Consumption,Total Electrical Consumption (DV),Total Electrical Consumption (DV),GJ,Jul,8405.401
Energy Consumption,Total Electrical Consumption (YB),Total Electrical Consumption (YB),GJ,Jul,0.0
Energy Consumption,Total Electrical Consumption,Total Electrical Consumption,GJ,Jul,8405.401
Energy Consumption,Total Renewable Energy (DV),Total Renewable Energy (DV),GJ,Jul,4340.422
Energy Consumption,Total Renewable Energy (YB),Total Renewable Energy (YB),GJ,Jul,0.0
Energy Consumption,Total Renewable Energy,Total Renewable Energy,GJ,Jul,4340.422
Energy Consumption,"Total Energy Consumption-Coal, Biomass (DV)","Total Energy Consumption-Coal, Biomass (DV)",GJ,Jul,115353.356
Energy Consumption,"Total Energy Consumption-Coal, Biomass (YB)","Total Energy Consumption-Coal, Biomass (YB)",GJ,Jul,0.0
Energy Consumption,"Total Energy Consumption-Coal, Biomass","Total Energy Consumption-Coal, Biomass",GJ,Jul,115353.356
Energy Consumption,Total Energy Consumption-Coal Gas (DV),Total Energy Consumption-Coal Gas (DV),GJ,Jul,85632.676
Energy Consumption,Total Energy Consumption-Coal Gas (YB),Total Energy Consumption-Coal Gas (YB),GJ,Jul,0.0
Energy Consumption,Total Energy Consumption-Coal Gas,Total Energy Consumption-Coal Gas,GJ,Jul,85632.676
Energy Consumption,"Specific Energy Consumption-Coal, Biomass (DV)","Specific Energy Consumption-Coal, Biomass (DV)",GJ/ton,Jul,6.251
Energy Consumption,"Specific Energy Consumption-Coal, Biomass (YB)","Specific Energy Consumption-Coal, Biomass (YB)",GJ/ton,Jul,0.0
Energy Consumption,"Specific Energy Consumption-Coal, Biomass","Specific Energy Consumption-Coal, Biomass",GJ/ton,Jul,6.251
Energy Consumption,Specific Energy Consumption-Coal Gas (DV),Specific Energy Consumption-Coal Gas (DV),GJ/ton,Jul,4.64
Energy Consumption,Specific Energy Consumption-Coal Gas (YB),Specific Energy Consumption-Coal Gas (YB),GJ/ton,Jul,0.0
Energy Consumption,Specific Energy Consumption-Coal Gas,Specific Energy Consumption-Coal Gas,GJ/ton,Jul,4.64
Energy Consumption,Coal 5A (DV),Coal/ Than 5A (DV),Ton,Aug,2148.882
Energy Consumption,Coal 4A.1 (DV),Coal/ Than 4A.1 (DV),Ton,Aug,630.609
Energy Consumption,Coal import coal (DV),Coal/ Than import coal (DV) (than nhập khẩu),Ton,Aug,77.21
Energy Consumption,Coal 5A under screen DV,Than cám qua sàng / Than 5A under screen DV,Ton,Aug,204.034
Energy Consumption,Coal 5A (YB),Coal/ Than 5A (YB),Ton,Aug,0.0
Energy Consumption,Coal 4A.1 (YB),Coal/ Than 4A.1 (YB),Ton,Aug,0.0
Energy Consumption,Coal import coal (YB),Coal/ Than import coal (YB) (than nhập khẩu),Ton,Aug,0.0
Energy Consumption,Coal 5A under screen YB,Than cám qua sàng / Than 5A under screen YB,Ton,Aug,0.0
Energy Consumption,Coal 5A (DV+YB),Coal/ Than 5A (DV+YB),Ton,Aug,2148.882
Energy Consumption,Coal 4A.1 (DV+YB),Coal/ Than 4A.1 (DV+YB),Ton,Aug,630.609
Energy Consumption,Coal import coal (DV+YB),Coal/ Than import coal (DV+YB),Ton,Aug,77.21
Energy Consumption,Coal  5A under screen  (DV+YB),Coal/ Than  5A under screen  (DV+YB),Ton,Aug,204.034
Energy Consumption,Total Coal DV,Total Coal DV,Ton,Aug,3060.735
Energy Consumption,Total Coal YB,Total Coal YB,Ton,Aug,0.0
Energy Consumption,Total Coal,Total Coal,Ton,Aug,3060.735
Energy Consumption,Coal heating value 5A,Coal heating value 5A (Nhiệt trị theo báo cáo gửi ban NL),cal/g,Aug,7350.0
Energy Consumption,Coal heating value 4A.1,Coal heating value 4A.1 (lấy theo nhiệt trị của ban NL),cal/g,Aug,5780.0
Energy Consumption,Coal heating value import coal,Coal heating value import coal (Nhiệt trị theo ban NL),cal/g,Aug,5520.0
Energy Consumption,Coal heating value5A under screen,Coal heating value5A under screen  (Nhiệt trị theo ban NL),cal/g,Aug,6810.0
Energy Consumption,Coal Heating Value average,Coal Heating Value average,cal/g,Aug,6944.369
Energy Consumption,Coal Gas (DV),Coal Gas (DV) (Nhiệt trị theo phiếu kiểm tra),Mcal,Aug,16165638.821
Energy Consumption,Coal Gas (YB),Coal Gas (YB) (Nhiệt trị theo phiếu kiểm tra),Mcal,Aug,0.0
Energy Consumption,Total Coal Gas,Total Coal Gas,Mcal,Aug,16165638.821
Energy Consumption,Lignite,Lignite/ Than non,Ton,Aug,0.0
Energy Consumption,Natural Gas,Natural Gas/ Khí gas tự nhiên,Ton,Aug,0.0
Energy Consumption,Co-generation (Heat),Co-generation (Heat)/ Đồng phát nhiệt điện,Ton,Aug,0.0
Energy Consumption,LPG for Process used (Station),LPG for Process used (Station)/ LPG dùng cho trạm (dùng cho lò nung),Ton,Aug,0.0
Energy Consumption,Heavy fuel oil / Bunker oil,Heavy fuel oil / Bunker oil/ Dầu nặng hoặc dàu chạy tàu,Ton,Aug,0.0
Energy Consumption,Diesel oil (Mobile),Diesel oil (Mobile) Dầu xe,Litre,Aug,27197.0
Energy Consumption,Gasoline,Gasoline (xăng bơm chữa cháy),Litre,Aug,0.0
Energy Consumption,Steam,Steam/ Hơi nước,Ton,Aug,0.0
Energy Consumption,Solid Biomass (DV),Solid Biomass (DV) (Củi+rác đốt là cây…+ Gỗ băm),Ton,Aug,580.365
Energy Consumption,Solid Biomass (YB),Solid Biomass (YB) (Củi+rác đốt),Ton,Aug,0.0
Energy Consumption,Total Solid Biomass,Total Solid Biomass,Ton,Aug,580.365
Energy Consumption,Solid Biomass heating Value,Solid Biomass heating Value (Nhiệt trị),cal/g,Aug,3000.0
Energy Consumption,Electricity,Electricity/ Điện (DV),MWh,Aug,2015.34
Energy Consumption,Electricity,Electricity/ Điện (YB),MWh,Aug,0.0
Energy Consumption,Total Electricity,Total Electricity,MWh,Aug,2015.34
Energy Consumption,Co-generation (Power),Co-generation (Power)/ Năng lượng đồng phát nhiệt điện,MWh,Aug,0.0
Energy Consumption,Solar Cell (Renewable Energy),Solar Cell (Renewable Energy)/ Năng lượng mặt trời,MWh,Aug,0.0
Energy Consumption,"Total Thermal Consumption-Coal, Biomass (DV)","Total Thermal Consumption-Coal, Biomass (DV)",GJ,Aug,97251.639
Energy Consumption,"Total Thermal Consumption-Coal, Biomass (YB)","Total Thermal Consumption-Coal, Biomass (YB)",GJ,Aug,0.0
Energy Consumption,"Total Thermal Consumption-Coal, Biomass","Total Thermal Consumption-Coal, Biomass",GJ,Aug,97251.639
Energy Consumption,Total Thermal Consumption-Coal Gas (DV),Total Thermal Consumption-Coal Gas (DV),GJ,Aug,68659.879
Energy Consumption,Total Thermal Consumption-Coal Gas (YB),Total Thermal Consumption-Coal Gas (YB),GJ,Aug,0.0
Energy Consumption,Total Thermal Consumption-Coal Gas,Total Thermal Consumption-Coal Gas,GJ,Aug,68659.879
Energy Consumption,Total Electrical Consumption (DV),Total Electrical Consumption (DV),GJ,Aug,7255.224
Energy Consumption,Total Electrical Consumption (YB),Total Electrical Consumption (YB),GJ,Aug,0.0
Energy Consumption,Total Electrical Consumption,Total Electrical Consumption,GJ,Aug,7255.224
Energy Consumption,Total Renewable Energy (DV),Total Renewable Energy (DV),GJ,Aug,7288.224
Energy Consumption,Total Renewable Energy (YB),Total Renewable Energy (YB),GJ,Aug,0.0
Energy Consumption,Total Renewable Energy,Total Renewable Energy,GJ,Aug,7288.224
Energy Consumption,"Total Energy Consumption-Coal, Biomass (DV)","Total Energy Consumption-Coal, Biomass (DV)",GJ,Aug,104506.863
Energy Consumption,"Total Energy Consumption-Coal, Biomass (YB)","Total Energy Consumption-Coal, Biomass (YB)",GJ,Aug,0.0
Energy Consumption,"Total Energy Consumption-Coal, Biomass","Total Energy Consumption-Coal, Biomass",GJ,Aug,104506.863
Energy Consumption,Total Energy Consumption-Coal Gas (DV),Total Energy Consumption-Coal Gas (DV),GJ,Aug,75915.103
Energy Consumption,Total Energy Consumption-Coal Gas (YB),Total Energy Consumption-Coal Gas (YB),GJ,Aug,0.0
Energy Consumption,Total Energy Consumption-Coal Gas,Total Energy Consumption-Coal Gas,GJ,Aug,75915.103
Energy Consumption,"Specific Energy Consumption-Coal, Biomass (DV)","Specific Energy Consumption-Coal, Biomass (DV)",GJ/ton,Aug,6.459
Energy Consumption,"Specific Energy Consumption-Coal, Biomass (YB)","Specific Energy Consumption-Coal, Biomass (YB)",GJ/ton,Aug,0.0
Energy Consumption,"Specific Energy Consumption-Coal, Biomass","Specific Energy Consumption-Coal, Biomass",GJ/ton,Aug,6.459
Energy Consumption,Specific Energy Consumption-Coal Gas (DV),Specific Energy Consumption-Coal Gas (DV),GJ/ton,Aug,4.692
Energy Consumption,Specific Energy Consumption-Coal Gas (YB),Specific Energy Consumption-Coal Gas (YB),GJ/ton,Aug,0.0
Energy Consumption,Specific Energy Consumption-Coal Gas,Specific Energy Consumption-Coal Gas,GJ/ton,Aug,4.692
Energy Consumption,Coal 5A (DV),Coal/ Than 5A (DV),Ton,Sep,1718.913
Energy Consumption,Coal 4A.1 (DV),Coal/ Than 4A.1 (DV),Ton,Sep,444.559
Energy Consumption,Coal import coal (DV),Coal/ Than import coal (DV) (than nhập khẩu),Ton,Sep,0.0
Energy Consumption,Coal 5A under screen DV,Than cám qua sàng / Than 5A under screen DV,Ton,Sep,133.775
Energy Consumption,Coal 5A (YB),Coal/ Than 5A (YB),Ton,Sep,0.0
