category,name,original_name,unit,period,value
Energy Consumption,"Specific Energy Consumption-Coal, Biomass (YB)","Specific Energy Consumption-Coal, Biomass (YB)",GJ/ton,Jan,0.0
Energy Consumption,"Specific Energy Consumption-Coal, Biomass","Specific Energy Consumption-Coal, Biomass",GJ/ton,Jan,5.927
Energy Consumption,Specific Energy Consumption-Coal Gas (DV),Specific Energy Consumption-Coal Gas (DV),GJ/ton,Jan,4.541
Energy Consumption,Specific Energy Consumption-Coal Gas (YB),Specific Energy Consumption-Coal Gas (YB),GJ/ton,Jan,0.0
Energy Consumption,Specific Energy Consumption-Coal Gas,Specific Energy Consumption-Coal Gas,GJ/ton,Jan,4.541
Energy Consumption,Coal 5A (DV),Coal/ Than 5A (DV),Ton,Feb,983.0
Energy Consumption,Coal 4A.1 (DV),Coal/ Than 4A.1 (DV),Ton,Feb,251.25
Energy Consumption,Coal import coal (DV),Coal/ Than import coal (DV) (than nhập khẩu),Ton,Feb,92.48
Energy Consumption,Coal 5A under screen DV,Than cám qua sàng / Than 5A under screen DV,Ton,Feb,88.0
Energy Consumption,Coal 5A (YB),Coal/ Than 5A (YB),Ton,Feb,0.0
Energy Consumption,Coal 4A.1 (YB),Coal/ Than 4A.1 (YB),Ton,Feb,0.0
Energy Consumption,Coal import coal (YB),Coal/ Than import coal (YB) (than nhập khẩu),Ton,Feb,0.0
Energy Consumption,Coal 5A under screen YB,Than cám qua sàng / Than 5A under screen YB,Ton,Feb,0.0
Energy Consumption,Coal 5A (DV+YB),Coal/ Than 5A (DV+YB),Ton,Feb,983.0
Energy Consumption,Coal 4A.1 (DV+YB),Coal/ Than 4A.1 (DV+YB),Ton,Feb,251.25
Energy Consumption,Coal import coal (DV+YB),Coal/ Than import coal (DV+YB),Ton,Feb,92.48
Energy Consumption,Coal  5A under screen  (DV+YB),Coal/ Than  5A under screen  (DV+YB),Ton,Feb,88.0
Energy Consumption,Total Coal DV,Total Coal DV,Ton,Feb,1414.73
Energy Consumption,Total Coal YB,Total Coal YB,Ton,Feb,0.0
Energy Consumption,Total Coal,Total Coal,Ton,Feb,1414.73
Energy Consumption,Coal heating value 5A,Coal heating value 5A (Nhiệt trị theo báo cáo gửi ban NL),cal/g,Feb,7350.0
Energy Consumption,Coal heating value 4A.1,Coal heating value 4A.1 (lấy theo nhiệt trị của ban NL),cal/g,Feb,5780.0
Energy Consumption,Coal heating value import coal,Coal heating value import coal (Nhiệt trị theo ban NL),cal/g,Feb,5520.0
Energy Consumption,Coal heating value5A under screen,Coal heating value5A under screen  (Nhiệt trị theo ban NL),cal/g,Feb,6810.0
Energy Consumption,Coal Heating Value average,Coal Heating Value average,cal/g,Feb,6917.959
Energy Consumption,Coal Gas (DV),Coal Gas (DV) (Nhiệt trị theo phiếu kiểm tra),Mcal,Feb,4930580.023
Energy Consumption,Coal Gas (YB),Coal Gas (YB) (Nhiệt trị theo phiếu kiểm tra),Mcal,Feb,0.0
Energy Consumption,Total Coal Gas,Total Coal Gas,Mcal,Feb,4930580.023
Energy Consumption,Lignite,Lignite/ Than non,Ton,Feb,0.0
Energy Consumption,Natural Gas,Natural Gas/ Khí gas tự nhiên,Ton,Feb,0.0
Energy Consumption,Co-generation (Heat),Co-generation (Heat)/ Đồng phát nhiệt điện,Ton,Feb,0.0
Energy Consumption,LPG for Process used (Station),LPG for Process used (Station)/ LPG dùng cho trạm (dùng cho lò nung),Ton,Feb,0.0
Energy Consumption,Heavy fuel oil / Bunker oil,Heavy fuel oil / Bunker oil/ Dầu nặng hoặc dàu chạy tàu,Ton,Feb,0.0
Energy Consumption,Diesel oil (Mobile),Diesel oil (Mobile) Dầu xe,Litre,Feb,17932.0
Energy Consumption,Gasoline,Gasoline (xăng bơm chữa cháy),Litre,Feb,0.0
Energy Consumption,Steam,Steam/ Hơi nước,Ton,Feb,0.0
Energy Consumption,Solid Biomass (DV),Solid Biomass (DV) (Củi+rác đốt là cây…+ Gỗ băm),Ton,Feb,18.544
Energy Consumption,Solid Biomass (YB),Solid Biomass (YB) (Củi+rác đốt),Ton,Feb,0.0
Energy Consumption,Total Solid Biomass,Total Solid Biomass,Ton,Feb,18.544
Energy Consumption,Solid Biomass heating Value,Solid Biomass heating Value (Nhiệt trị),cal/g,Feb,3000.0
Energy Consumption,Electricity,Electricity/ Điện (DV),MWh,Feb,885.069
Energy Consumption,Electricity,Electricity/ Điện (YB),MWh,Feb,0.0
Energy Consumption,Total Electricity,Total Electricity,MWh,Feb,885.069
Energy Consumption,Co-generation (Power),Co-generation (Power)/ Năng lượng đồng phát nhiệt điện,MWh,Feb,0.0
Energy Consumption,Solar Cell (Renewable Energy),Solar Cell (Renewable Energy)/ Năng lượng mặt trời,MWh,Feb,0.0
Energy Consumption,"Total Thermal Consumption-Coal, Biomass (DV)","Total Thermal Consumption-Coal, Biomass (DV)",GJ,Feb,41854.528
Energy Consumption,"Total Thermal Consumption-Coal, Biomass (YB)","Total Thermal Consumption-Coal, Biomass (YB)",GJ,Feb,0.0
Energy Consumption,"Total Thermal Consumption-Coal, Biomass","Total Thermal Consumption-Coal, Biomass",GJ,Feb,41854.528
Energy Consumption,Total Thermal Consumption-Coal Gas (DV),Total Thermal Consumption-Coal Gas (DV),GJ,Feb,21292.491
Energy Consumption,Total Thermal Consumption-Coal Gas (YB),Total Thermal Consumption-Coal Gas (YB),GJ,Feb,0.0
Energy Consumption,Total Thermal Consumption-Coal Gas,Total Thermal Consumption-Coal Gas,GJ,Feb,21292.491
Energy Consumption,Total Electrical Consumption (DV),Total Electrical Consumption (DV),GJ,Feb,3186.248
Energy Consumption,Total Electrical Consumption (YB),Total Electrical Consumption (YB),GJ,Feb,0.0
Energy Consumption,Total Electrical Consumption,Total Electrical Consumption,GJ,Feb,3186.248
Energy Consumption,Total Renewable Energy (DV),Total Renewable Energy (DV),GJ,Feb,232.876
Energy Consumption,Total Renewable Energy (YB),Total Renewable Energy (YB),GJ,Feb,0.0
Energy Consumption,Total Renewable Energy,Total Renewable Energy,GJ,Feb,232.876
Energy Consumption,"Total Energy Consumption-Coal, Biomass (DV)","Total Energy Consumption-Coal, Biomass (DV)",GJ,Feb,45040.775
Energy Consumption,"Total Energy Consumption-Coal, Biomass (YB)","Total Energy Consumption-Coal, Biomass (YB)",GJ,Feb,0.0
Energy Consumption,"Total Energy Consumption-Coal, Biomass","Total Energy Consumption-Coal, Biomass",GJ,Feb,45040.775
Energy Consumption,Total Energy Consumption-Coal Gas (DV),Total Energy Consumption-Coal Gas (DV),GJ,Feb,24478.739
Energy Consumption,Total Energy Consumption-Coal Gas (YB),Total Energy Consumption-Coal Gas (YB),GJ,Feb,0.0
Energy Consumption,Total Energy Consumption-Coal Gas,Total Energy Consumption-Coal Gas,GJ,Feb,24478.739
Energy Consumption,"Specific Energy Consumption-Coal, Biomass (DV)","Specific Energy Consumption-Coal, Biomass (DV)",GJ/ton,Feb,7.138
Energy Consumption,"Specific Energy Consumption-Coal, Biomass (YB)","Specific Energy Consumption-Coal, Biomass (YB)",GJ/ton,Feb,0.0
Energy Consumption,"Specific Energy Consumption-Coal, Biomass","Specific Energy Consumption-Coal, Biomass",GJ/ton,Feb,7.138
Energy Consumption,Specific Energy Consumption-Coal Gas (DV),Specific Energy Consumption-Coal Gas (DV),GJ/ton,Feb,3.879
Energy Consumption,Specific Energy Consumption-Coal Gas (YB),Specific Energy Consumption-Coal Gas (YB),GJ/ton,Feb,0.0
Energy Consumption,Specific Energy Consumption-Coal Gas,Specific Energy Consumption-Coal Gas,GJ/ton,Feb,3.879
Energy Consumption,Coal 5A (DV),Coal/ Than 5A (DV),Ton,Mar,2414.661
Energy Consumption,Coal 4A.1 (DV),Coal/ Than 4A.1 (DV),Ton,Mar,543.069
Energy Consumption,Coal import coal (DV),Coal/ Than import coal (DV) (than nhập khẩu),Ton,Mar,430.117
Energy Consumption,Coal 5A under screen DV,Than cám qua sàng / Than 5A under screen DV,Ton,Mar,206.339
Energy Consumption,Coal 5A (YB),Coal/ Than 5A (YB),Ton,Mar,0.0
Energy Consumption,Coal 4A.1 (YB),Coal/ Than 4A.1 (YB),Ton,Mar,0.0
Energy Consumption,Coal import coal (YB),Coal/ Than import coal (YB) (than nhập khẩu),Ton,Mar,0.0
Energy Consumption,Coal 5A under screen YB,Than cám qua sàng / Than 5A under screen YB,Ton,Mar,0.0
Energy Consumption,Coal 5A (DV+YB),Coal/ Than 5A (DV+YB),Ton,Mar,2414.661
Energy Consumption,Coal 4A.1 (DV+YB),Coal/ Than 4A.1 (DV+YB),Ton,Mar,543.069
Energy Consumption,Coal import coal (DV+YB),Coal/ Than import coal (DV+YB),Ton,Mar,430.117
Energy Consumption,Coal  5A under screen  (DV+YB),Coal/ Than  5A under screen  (DV+YB),Ton,Mar,206.339
Energy Consumption,Total Coal DV,Total Coal DV,Ton,Mar,3594.186
Energy Consumption,Total Coal YB,Total Coal YB,Ton,Mar,0.0
Energy Consumption,Total Coal,Total Coal,Ton,Mar,3594.186
Energy Consumption,Coal heating value 5A,Coal heating value 5A (Nhiệt trị theo báo cáo gửi ban NL),cal/g,Mar,7350.0
Energy Consumption,Coal heating value 4A.1,Coal heating value 4A.1 (lấy theo nhiệt trị của ban NL),cal/g,Mar,5780.0
Energy Consumption,Coal heating value import coal,Coal heating value import coal (Nhiệt trị theo ban NL),cal/g,Mar,5520.0
Energy Consumption,Coal heating value5A under screen,Coal heating value5A under screen  (Nhiệt trị theo ban NL),cal/g,Mar,6810.0
Energy Consumption,Coal Heating Value average,Coal Heating Value average,cal/g,Mar,6862.781
Energy Consumption,Coal Gas (DV),Coal Gas (DV) (Nhiệt trị theo phiếu kiểm tra),Mcal,Mar,18233956.122
Energy Consumption,Coal Gas (YB),Coal Gas (YB) (Nhiệt trị theo phiếu kiểm tra),Mcal,Mar,0.0
Energy Consumption,Total Coal Gas,Total Coal Gas,Mcal,Mar,18233956.122
Energy Consumption,Lignite,Lignite/ Than non,Ton,Mar,0.0
Energy Consumption,Natural Gas,Natural Gas/ Khí gas tự nhiên,Ton,Mar,0.0
Energy Consumption,Co-generation (Heat),Co-generation (Heat)/ Đồng phát nhiệt điện,Ton,Mar,0.0
Energy Consumption,LPG for Process used (Station),LPG for Process used (Station)/ LPG dùng cho trạm (dùng cho lò nung),Ton,Mar,0.0
Energy Consumption,Heavy fuel oil / Bunker oil,Heavy fuel oil / Bunker oil/ Dầu nặng hoặc dàu chạy tàu,Ton,Mar,0.0
Energy Consumption,Diesel oil (Mobile),Diesel oil (Mobile) Dầu xe,Litre,Mar,26113.0
Energy Consumption,Gasoline,Gasoline (xăng bơm chữa cháy),Litre,Mar,0.0
Energy Consumption,Steam,Steam/ Hơi nước,Ton,Mar,0.0
Energy Consumption,Solid Biomass (DV),Solid Biomass (DV) (Củi+rác đốt là cây…+ Gỗ băm),Ton,Mar,29.067
Energy Consumption,Solid Biomass (YB),Solid Biomass (YB) (Củi+rác đốt),Ton,Mar,0.0
Energy Consumption,Total Solid Biomass,Total Solid Biomass,Ton,Mar,29.067
Energy Consumption,Solid Biomass heating Value,Solid Biomass heating Value (Nhiệt trị),cal/g,Mar,3000.0
Energy Consumption,Electricity,Electricity/ Điện (DV),MWh,Mar,2076.957
Energy Consumption,Electricity,Electricity/ Điện (YB),MWh,Mar,0.0
Energy Consumption,Total Electricity,Total Electricity,MWh,Mar,2076.957
Energy Consumption,Co-generation (Power),Co-generation (Power)/ Năng lượng đồng phát nhiệt điện,MWh,Mar,0.0
Energy Consumption,Solar Cell (Renewable Energy),Solar Cell (Renewable Energy)/ Năng lượng mặt trời,MWh,Mar,0.0
Energy Consumption,"Total Thermal Consumption-Coal, Biomass (DV)","Total Thermal Consumption-Coal, Biomass (DV)",GJ,Mar,104768.712
Energy Consumption,"Total Thermal Consumption-Coal, Biomass (YB)","Total Thermal Consumption-Coal, Biomass (YB)",GJ,Mar,0.0
Energy Consumption,"Total Thermal Consumption-Coal, Biomass","Total Thermal Consumption-Coal, Biomass",GJ,Mar,104768.712
Energy Consumption,Total Thermal Consumption-Coal Gas (DV),Total Thermal Consumption-Coal Gas (DV),GJ,Mar,77478.686
Energy Consumption,Total Thermal Consumption-Coal Gas (YB),Total Thermal Consumption-Coal Gas (YB),GJ,Mar,0.0
Energy Consumption,Total Thermal Consumption-Coal Gas,Total Thermal Consumption-Coal Gas,GJ,Mar,77478.686
Energy Consumption,Total Electrical Consumption (DV),Total Electrical Consumption (DV),GJ,Mar,7477.044
Energy Consumption,Total Electrical Consumption (YB),Total Electrical Consumption (YB),GJ,Mar,0.0
Energy Consumption,Total Electrical Consumption,Total Electrical Consumption,GJ,Mar,7477.044
Energy Consumption,Total Renewable Energy (DV),Total Renewable Energy (DV),GJ,Mar,365.023
Energy Consumption,Total Renewable Energy (YB),Total Renewable Energy (YB),GJ,Mar,0.0
Energy Consumption,Total Renewable Energy,Total Renewable Energy,GJ,Mar,365.023
Energy Consumption,"Total Energy Consumption-Coal, Biomass (DV)","Total Energy Consumption-Coal, Biomass (DV)",GJ,Mar,112245.756
Energy Consumption,"Total Energy Consumption-Coal, Biomass (YB)","Total Energy Consumption-Coal, Biomass (YB)",GJ,Mar,0.0
Energy Consumption,"Total Energy Consumption-Coal, Biomass","Total Energy Consumption-Coal, Biomass",GJ,Mar,112245.756
Energy Consumption,Total Energy Consumption-Coal Gas (DV),Total Energy Consumption-Coal Gas (DV),GJ,Mar,84955.73
Energy Consumption,Total Energy Consumption-Coal Gas (YB),Total Energy Consumption-Coal Gas (YB),GJ,Mar,0.0
Energy Consumption,Total Energy Consumption-Coal Gas,Total Energy Consumption-Coal Gas,GJ,Mar,84955.73
Energy Consumption,"Specific Energy Consumption-Coal, Biomass (DV)","Specific Energy Consumption-Coal, Biomass (DV)",GJ/ton,Mar,6.33
Energy Consumption,"Specific Energy Consumption-Coal, Biomass (YB)","Specific Energy Consumption-Coal, Biomass (YB)",GJ/ton,Mar,0.0
Energy Consumption,"Specific Energy Consumption-Coal, Biomass","Specific Energy Consumption-Coal, Biomass",GJ/ton,Mar,6.33
Energy Consumption,Specific Energy Consumption-Coal Gas (DV),Specific Energy Consumption-Coal Gas (DV),GJ/ton,Mar,4.791
Energy Consumption,Specific Energy Consumption-Coal Gas (YB),Specific Energy Consumption-Coal Gas (YB),GJ/ton,Mar,0.0
Energy Consumption,Specific Energy Consumption-Coal Gas,Specific Energy Consumption-Coal Gas,GJ/ton,Mar,4.791
Energy Consumption,Coal 5A (DV),Coal/ Than 5A (DV),Ton,Apr,2198.795
Energy Consumption,Coal 4A.1 (DV),Coal/ Than 4A.1 (DV),Ton,Apr,88.335
Energy Consumption,Coal import coal (DV),Coal/ Than import coal (DV) (than nhập khẩu),Ton,Apr,722.734
Energy Consumption,Coal 5A under screen DV,Than cám qua sàng / Than 5A under screen DV,Ton,Apr,209.205
Energy Consumption,Coal 5A (YB),Coal/ Than 5A (YB),Ton,Apr,0.0
Energy Consumption,Coal 4A.1 (YB),Coal/ Than 4A.1 (YB),Ton,Apr,0.0
Energy Consumption,Coal import coal (YB),Coal/ Than import coal (YB) (than nhập khẩu),Ton,Apr,0.0
Energy Consumption,Coal 5A under screen YB,Than cám qua sàng / Than 5A under screen YB,Ton,Apr,0.0
Energy Consumption,Coal 5A (DV+YB),Coal/ Than 5A (DV+YB),Ton,Apr,2198.795
Energy Consumption,Coal 4A.1 (DV+YB),Coal/ Than 4A.1 (DV+YB),Ton,Apr,88.335
Energy Consumption,Coal import coal (DV+YB),Coal/ Than import coal (DV+YB),Ton,Apr,722.734
Energy Consumption,Coal  5A under screen  (DV+YB),Coal/ Than  5A under screen  (DV+YB),Ton,Apr,209.205
Energy Consumption,Total Coal DV,Total Coal DV,Ton,Apr,3219.069
Energy Consumption,Total Coal YB,Total Coal YB,Ton,Apr,0.0
Energy Consumption,Total Coal,Total Coal,Ton,Apr,3219.069
Energy Consumption,Coal heating value 5A,Coal heating value 5A (Nhiệt trị theo báo cáo gửi ban NL),cal/g,Apr,7350.0
Energy Consumption,Coal heating value 4A.1,Coal heating value 4A.1 (lấy theo nhiệt trị của ban NL),cal/g,Apr,5780.0
Energy Consumption,Coal heating value import coal,Coal heating value import coal (Nhiệt trị theo ban NL),cal/g,Apr,5520.0
Energy Consumption,Coal heating value5A under screen,Coal heating value5A under screen  (Nhiệt trị theo ban NL),cal/g,Apr,6810.0
Energy Consumption,Coal Heating Value average,Coal Heating Value average,cal/g,Apr,6860.958
Energy Consumption,Coal Gas (DV),Coal Gas (DV) (Nhiệt trị theo phiếu kiểm tra),Mcal,Apr,16498636.969
Energy Consumption,Coal Gas (YB),Coal Gas (YB) (Nhiệt trị theo phiếu kiểm tra),Mcal,Apr,0.0
Energy Consumption,Total Coal Gas,Total Coal Gas,Mcal,Apr,16498636.969
Energy Consumption,Lignite,Lignite/ Than non,Ton,Apr,0.0
Energy Consumption,Natural Gas,Natural Gas/ Khí gas tự nhiên,Ton,Apr,0.0
Energy Consumption,Co-generation (Heat),Co-generation (Heat)/ Đồng phát nhiệt điện,Ton,Apr,0.0
Energy Consumption,LPG for Process used (Station),LPG for Process used (Station)/ LPG dùng cho trạm (dùng cho lò nung),Ton,Apr,0.0
Energy Consumption,Heavy fuel oil / Bunker oil,Heavy fuel oil / Bunker oil/ Dầu nặng hoặc dàu chạy tàu,Ton,Apr,0.0
Energy Consumption,Diesel oil (Mobile),Diesel oil (Mobile) Dầu xe,Litre,Apr,23200.0
Energy Consumption,Gasoline,Gasoline (xăng bơm chữa cháy),Litre,Apr,0.0
Energy Consumption,Steam,Steam/ Hơi nước,Ton,Apr,0.0
Energy Consumption,Solid Biomass (DV),Solid Biomass (DV) (Củi+rác đốt là cây…+ Gỗ băm),Ton,Apr,31.936
Energy Consumption,Solid Biomass (YB),Solid Biomass (YB) (Củi+rác đốt),Ton,Apr,0.0
Energy Consumption,Total Solid Biomass,Total Solid Biomass,Ton,Apr,31.936
Energy Consumption,Solid Biomass heating Value,Solid Biomass heating Value (Nhiệt trị),cal/g,Apr,3000.0
Energy Consumption,Electricity,Electricity/ Điện (DV),MWh,Apr,1968.71
Energy Consumption,Electricity,Electricity/ Điện (YB),MWh,Apr,0.0
Energy Consumption,Total Electricity,Total Electricity,MWh,Apr,1968.71
Energy Consumption,Co-generation (Power),Co-generation (Power)/ Năng lượng đồng phát nhiệt điện,MWh,Apr,0.0
Energy Consumption,Solar Cell (Renewable Energy),Solar Cell (Renewable Energy)/ Năng lượng mặt trời,MWh,Apr,0.0
