attribute,unit,period,value
Specific Water Withdrawal (YB),m3/ton, Nov,
Specific Water Withdrawal (DV+YB),m3/ton, Nov,0.687025316736867
Surface water (Lake) (DV),m3, Dec,7894.0
Surface water (Lake) (YB),m3, Dec,0.0
Surface water (Lake) (DV+YB),m3, Dec,7894.0
Ground water (wells) (DV),m3, Dec,
Tap wate (DV),m3, Dec,1064.0
Total Water Withdrawal (DV),m3, Dec,8958.0
Total Water Withdrawal (YB),m3, Dec,0.0
Total Water Withdrawal (DV+YB),m3, Dec,8958.0
Specific Water Withdrawal (DV),m3/ton, Dec,0.574957987026792
Specific Water Withdrawal (YB),m3/ton, Dec,0.0
Specific Water Withdrawal (DV+YB),m3/ton, Dec,0.5597372968119856
