category,Stack No.,period,variable,unit,Sampling,value
Dust,Spray Dryer 1,Oct,Dust Emission Actual O2,mg/m3,2020-08-20,43.4
Dust,Spray Dryer 1,Oct,Dust Emission rate,kg/hr,2020-08-20,3.689
Dust,Spray Dryer 1,Oct,Operation Hour,hr,2020-08-20,680.0
Dust,Spray Dryer 1,Oct,Dust Emission,kg,2020-08-20,2508.52
Dust,Spray Dryer 1,Nov,Stack Temperature,๐C,2020-08-20,96.2
Dust,Spray Dryer 1,Nov,%Oxygen,%,2020-08-20,0.0
Dust,Spray Dryer 1,Nov,Gas Velocity,m/s,2020-08-20,0.0
Dust,Spray Dryer 1,Nov,Flow rate,m3/min,2020-08-20,1416.666667
Dust,Spray Dryer 1,Nov,Dust Emission Actual O2,mg/m3,2020-08-20,43.4
Dust,Spray Dryer 1,Nov,Dust Emission rate,kg/hr,2020-08-20,3.689
Dust,Spray Dryer 1,Nov,Operation Hour,hr,2020-08-20,683.0
Dust,Spray Dryer 1,Nov,Dust Emission,kg,2020-08-20,2519.587
Dust,Spray Dryer 1,Dec,Stack Temperature,๐C,2020-08-20,96.2
Dust,Spray Dryer 1,Dec,%Oxygen,%,2020-08-20,0.0
Dust,Spray Dryer 1,Dec,Gas Velocity,m/s,2020-08-20,0.0
Dust,Spray Dryer 1,Dec,Flow rate,m3/min,2020-08-20,1416.666667
Dust,Spray Dryer 1,Dec,Dust Emission Actual O2,mg/m3,2020-08-20,43.4
Dust,Spray Dryer 1,Dec,Dust Emission rate,kg/hr,2020-08-20,3.689
Dust,Spray Dryer 1,Dec,Operation Hour,hr,2020-08-20,660.0
Dust,Spray Dryer 1,Dec,Dust Emission,kg,2020-08-20,2434.74
Dust,Spray Dryer 2,Jan,Diameter,m,2019-12-02,1.3
Dust,Spray Dryer 2,Jan,Stack Temperature,๐C,2019-12-02,87.1
Dust,Spray Dryer 2,Jan,%Oxygen,%,2019-12-02,0.0
Dust,Spray Dryer 2,Jan,Gas Velocity,m/s,2019-12-02,0.0
Dust,Spray Dryer 2,Jan,Flow rate,m3/min,2019-12-02,1416.666667
Dust,Spray Dryer 2,Jan,Dust Emission Actual O2,mg/m3,2019-12-02,43.0
Dust,Spray Dryer 2,Jan,Dust Emission rate,kg/hr,2019-12-02,3.655
Dust,Spray Dryer 2,Jan,Operation Hour,hr,2019-12-02,400.0
Dust,Spray Dryer 2,Jan,Dust Emission,kg,2019-12-02,1462.0
Dust,Spray Dryer 2,Feb,Stack Temperature,๐C,2019-12-02,87.1
Dust,Spray Dryer 2,Feb,%Oxygen,%,2019-12-02,0.0
Dust,Spray Dryer 2,Feb,Gas Velocity,m/s,2019-12-02,0.0
Dust,Spray Dryer 2,Feb,Flow rate,m3/min,2019-12-02,1416.666667
Dust,Spray Dryer 2,Feb,Dust Emission Actual O2,mg/m3,2019-12-02,43.0
Dust,Spray Dryer 2,Feb,Dust Emission rate,kg/hr,2019-12-02,3.655
Dust,Spray Dryer 2,Feb,Operation Hour,hr,2019-12-02,424.0
Dust,Spray Dryer 2,Feb,Dust Emission,kg,2019-12-02,1549.72
Dust,Spray Dryer 2,Mar,Stack Temperature,๐C,2019-12-02,87.1
Dust,Spray Dryer 2,Mar,%Oxygen,%,2019-12-02,0.0
Dust,Spray Dryer 2,Mar,Gas Velocity,m/s,2019-12-02,0.0
Dust,Spray Dryer 2,Mar,Flow rate,m3/min,2019-12-02,1416.666667
Dust,Spray Dryer 2,Mar,Dust Emission Actual O2,mg/m3,2019-12-02,43.0
Dust,Spray Dryer 2,Mar,Dust Emission rate,kg/hr,2019-12-02,3.655
Dust,Spray Dryer 2,Mar,Operation Hour,hr,2019-12-02,654.0
Dust,Spray Dryer 2,Mar,Dust Emission,kg,2019-12-02,2390.37
Dust,Spray Dryer 2,Apr,Stack Temperature,๐C,2020-04-03,71.9
Dust,Spray Dryer 2,Apr,%Oxygen,%,2020-04-03,0.0
Dust,Spray Dryer 2,Apr,Gas Velocity,m/s,2020-04-03,0.0
Dust,Spray Dryer 2,Apr,Flow rate,m3/min,2020-04-03,1416.666667
Dust,Spray Dryer 2,Apr,Dust Emission Actual O2,mg/m3,2020-04-03,48.9
Dust,Spray Dryer 2,Apr,Dust Emission rate,kg/hr,2020-04-03,4.1565
Dust,Spray Dryer 2,Apr,Operation Hour,hr,2020-04-03,475.0
Dust,Spray Dryer 2,Apr,Dust Emission,kg,2020-04-03,1974.3375
Dust,Spray Dryer 2,May,Stack Temperature,๐C,2020-04-03,71.9
Dust,Spray Dryer 2,May,%Oxygen,%,2020-04-03,0.0
Dust,Spray Dryer 2,May,Gas Velocity,m/s,2020-04-03,0.0
Dust,Spray Dryer 2,May,Flow rate,m3/min,2020-04-03,1416.666667
Dust,Spray Dryer 2,May,Dust Emission Actual O2,mg/m3,2020-04-03,48.9
Dust,Spray Dryer 2,May,Dust Emission rate,kg/hr,2020-04-03,4.1565
Dust,Spray Dryer 2,May,Operation Hour,hr,2020-04-03,499.7
Dust,Spray Dryer 2,May,Dust Emission,kg,2020-04-03,2077.00305
Dust,Spray Dryer 2,Jun,Stack Temperature,๐C,2020-06-08,94.1
Dust,Spray Dryer 2,Jun,%Oxygen,%,2020-06-08,0.0
Dust,Spray Dryer 2,Jun,Gas Velocity,m/s,2020-06-08,0.0
Dust,Spray Dryer 2,Jun,Flow rate,m3/min,2020-06-08,1416.666667
Dust,Spray Dryer 2,Jun,Dust Emission Actual O2,mg/m3,2020-06-08,43.7
Dust,Spray Dryer 2,Jun,Dust Emission rate,kg/hr,2020-06-08,3.7145
Dust,Spray Dryer 2,Jun,Operation Hour,hr,2020-06-08,513.6
Dust,Spray Dryer 2,Jun,Dust Emission,kg,2020-06-08,1907.7672
Dust,Spray Dryer 2,Jul,Stack Temperature,๐C,2020-06-08,94.1
Dust,Spray Dryer 2,Jul,%Oxygen,%,2020-06-08,0.0
Dust,Spray Dryer 2,Jul,Gas Velocity,m/s,2020-06-08,0.0
Dust,Spray Dryer 2,Jul,Flow rate,m3/min,2020-06-08,1416.666667
Dust,Spray Dryer 2,Jul,Dust Emission Actual O2,mg/m3,2020-06-08,43.7
