section,waste_category_en,report_month,incoming_stock,waste_generated,reuse_recycle,incineration,landfill
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Plastic packaging, (Wrap, Bigbag)/ Nhựa bao gồm các loại vật dụng làm từ nhựa bỏ",Nov,0.0,0.22,0.22,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Plastic packaging, (Wrap, Bigbag)/ Nhựa bao gồm các loại vật dụng làm từ nhựa bỏ",Dec,0.0,0.24,0.24,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Wooden Packaging (Pallet, gỗ củi)",Jan,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Wooden Packaging (Pallet, gỗ củi)",Feb,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Wooden Packaging (Pallet, gỗ củi)",Mar,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Wooden Packaging (Pallet, gỗ củi)",Apr,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Wooden Packaging (Pallet, gỗ củi)",May,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Wooden Packaging (Pallet, gỗ củi)",Jun,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Wooden Packaging (Pallet, gỗ củi)",Jul,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Wooden Packaging (Pallet, gỗ củi)",Aug,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Wooden Packaging (Pallet, gỗ củi)",Sep,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Wooden Packaging (Pallet, gỗ củi)",Oct,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Wooden Packaging (Pallet, gỗ củi)",Nov,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Wooden Packaging (Pallet, gỗ củi)",Dec,0.0,0.0,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Rubber/ Cao su (bao gồm các loại dây cao su, dây đai cao su, một số đồ dùng cho sản xuất làm từ cao su)",Jan,4.068999999999999,0.05,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Rubber/ Cao su (bao gồm các loại dây cao su, dây đai cao su, một số đồ dùng cho sản xuất làm từ cao su)",Feb,4.118999999999999,1.4647000000000001,,,
Non Hazardous Waste (ton)/ CHẤT THẢI THÔNG THƯỜNG,"Rubber/ Cao su (bao gồm các loại dây cao su, dây đai cao su, một số đồ dùng cho sản xuất làm từ cao su)",Mar,5.5836999999999986,2.9145,2.76,,
