Energy Consumption,unit, Jan, Feb, Mar, Apr, May, Jun, Jul, Aug, Sep, Oct, Nov, Dec, YTD,Q1, Q2,Q3,Q4,,,
Electricity/ Điện (YB),MWh,0,0,0,0,0,0,0,0,0,0,0,10.591685,10.591685,0,0,0,10.591685,,,
Total Electricity,MWh,1214.6904,885.068799999999,2076.9568,1968.7096000000001,2088.9791999999998,2154.0463999999997,2334.8336,2015.34,1630.3408,1631.5023999999999,1569.2988,1847.582885,21417.349684999997,4176.7159999999985,6211.735199999999,5980.5144,5048.384085000001,,,
Co-generation (Power)/ Năng lượng đồng phát nhiệt điện,MWh,,,,,,,,,,,,,21427.941369999997,4176.7159999999985,6211.735199999999,5980.5144,5058.975770000001,,,
Solar Cell (Renewable Energy)/ Năng lượng mặt trời,MWh,,,,,,,,,,,,,42845.291054999994,8353.431999999997,12423.470399999998,11961.0288,10107.359855000002,,,
"Total Thermal Consumption-Coal, Biomass (DV)",GJ,52581.9498742,41854.5276876,104768.71200359998,93770.40230207998,93520.73203363999,94035.57372063998,106947.95459608,97251.63871356,74339.50864352,76169.73884579999,69008.5133424,91436.41069252,995685.6624556399,199205.18956539998,281326.70805635996,278539.10195316,236614.66288072,,,
"Total Thermal Consumption-Coal, Biomass (YB)",GJ,0,0,0,0,0,0,0,0,0,0,0,159661.60169440001,159661.60169440001,0,0,0,159661.60169440001,,,
"Total Thermal Consumption-Coal, Biomass",GJ,52581.9498742,41854.5276876,104768.71200359998,93770.40230208,93520.73203363999,94035.57372063998,106947.95459608,97251.63871355998,74339.50864351999,76169.73884579999,69008.5133424,92104.75415721277,996354.0059203325,199205.18956539998,281326.70805635996,278539.10195315996,237283.00634541275,=,5.8777822825877,GJ/ton
Total Thermal Consumption-Coal Gas (DV),GJ,39261.56500333222,21292.491416251334,77478.68578525222,69981.07835068759,67475.85657660759,68456.97795065158,77227.2751639571,68659.87884409276,55197.94564720279,52250.0608085734,53659.743930407756,64594.11540461694,715535.6748816333,138032.74220483578,205913.91287794677,201085.09965525265,170503.9201435981,,,
Total Thermal Consumption-Coal Gas (YB),GJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Total Thermal Consumption-Coal Gas,GJ,39261.56500333222,21292.491416251334,77478.68578525222,69981.07835068759,67475.85657660759,68456.97795065158,77227.2751639571,68659.87884409276,55197.94564720279,52250.0608085734,53659.743930407756,64594.11540461694,715535.6748816333,138032.74220483578,205913.91287794677,201085.09965525265,170503.9201435981,,,
Total Electrical Consumption (DV),GJ,4372.88544,3186.2476799999963,7477.04448,7087.354560000001,7520.3251199999995,7754.567039999999,8405.40096,7255.224,5869.22688,5873.40864,5649.4756800000005,6613.16832,77064.3288,15036.177599999995,22362.24672,21529.851840000003,18136.05264,,,
Total Electrical Consumption (YB),GJ,0,0,0,0,0,0,0,0,0,0,0,38.130066,38.130066,0,0,0,38.130066,,,
Total Electrical Consumption,GJ,4372.88544,3186.2476799999963,7477.04448,7087.354560000001,7520.3251199999995,7754.567039999999,8405.40096,7255.224,5869.22688,5873.40864,5649.4756800000005,6651.298386,77102.458866,15036.177599999995,22362.24672,21529.851840000003,18174.182706,=,0.4548498465140496,GJ/ton
Total Renewable Energy (DV),GJ,30.716868,232.87555199999997,365.02338599999996,401.052288,344.742216,2800.258188,4340.421539999999,7288.223669999999,5916.38775,3872.1337199999994,1757.893956,199.44615599999997,27549.175289999992,628.6158059999999,3546.0526919999998,17545.032959999997,5829.473832,,,
Total Renewable Energy (YB),GJ,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,,,
Total Renewable Energy,GJ,30.716868,232.87555199999997,365.02338599999996,401.052288,344.742216,2800.258188,4340.421539999999,7288.223669999999,5916.38775,3872.1337199999994,1757.893956,199.44615599999997,27549.175289999992,628.6158059999999,3546.0526919999998,17545.032959999997,5829.473832,=,0.16252060357793394,GJ/ton
